dataset,phylo_prec,phylo_rec,phylo_f1,tnet_prec,tnet_rec,tnet_f1,tnet_bias_prec,tnet_bias_rec,tnet_bias_f1
AA,0,0,0,0.5,1,0.667,0.5,1,0.667
AC,1,0.667,0.8,1,1,1,1,1,1
AI,0,0,0,0.2,0.571,0.296,0.206,0.5,0.292
AJ,1,0.5,0.667,0.5,1,0.667,0.5,1,0.667
AQ,0,0,0,0,0,0,0,0,0
AW,0,0,0,0.133,0.222,0.167,0.16,0.222,0.186
BA,0,0,0,0.375,0.6,0.462,0.5,0.6,0.545
BB,0,0,0,0.167,0.333,0.222,0.154,0.333,0.211
BC,1,1,1,1,1,1,1,1,1
BJ,0,0,0,0.6,1,0.75,1,1,1
,0.3,0.2167,0.2467,0.4475,0.6726,0.5231,0.502,0.6655,0.5568
