dataset,phylo_prec,phylo_rec,phylo_f1,sharp_prec,sharp_rec,sharp_f1,tnet_prec,tnet_rec,tnet_f1,tnet_bias_prec,tnet_bias_rec,tnet_bias_f1
AA,0,0,0,0.5,1,0.667,0.5,1,0.667,0.5,1,0.667
AC,1,0.333,0.5,1,1,1,1,1,1,1,1,1
AI,0,0,0,0.192,0.357,0.25,0.267,0.286,0.276,0.226,0.5,0.311
AJ,1,0.5,0.667,0.667,1,0.8,0.667,1,0.8,0.667,1,0.8
AQ,0,0,0,0,0,0,0,0,0,0,0,0
AW,0,0,0,0.176,0.167,0.171,0.273,0.167,0.207,0.211,0.222,0.216
BA,0,0,0,0.6,0.6,0.6,0.6,0.6,0.6,0.375,0.6,0.462
BB,0,0,0,0.143,0.167,0.154,0,0,0,0.143,0.167,0.154
BC,1,1,1,1,1,1,1,1,1,1,1,1
BJ,0,0,0,1,1,1,1,1,1,1,1,1
,0.3,0.1833,0.2167,0.5278,0.6291,0.5642,0.5307,0.6053,0.555,0.5122,0.6489,0.561
