dataset,phylo_prec,phylo_rec,phylo_f1,sharp_prec,sharp_rec,sharp_f1,tnet_prec,tnet_rec,tnet_f1,tnet_bias_prec,tnet_bias_rec,tnet_bias_f1
AA,0,0,0,0.5,1,0.667,0.5,1,0.667,0.5,1,0.667
AC,1,0.333,0.5,1,1,1,1,1,1,1,1,1
AI,0,0,0,0.229,0.571,0.327,0.184,0.643,0.286,0.212,0.5,0.298
AJ,1,0.5,0.667,0.667,1,0.8,0.5,1,0.667,0.667,1,0.8
AQ,0,0,0,0,0,0,0,0,0,0,0,0
AW,0,0,0,0.154,0.222,0.182,0.103,0.222,0.14,0.154,0.222,0.182
BA,0,0,0,0.444,0.8,0.571,0.4,0.8,0.533,0.375,0.6,0.462
BB,0,0,0,0.143,0.167,0.154,0.167,0.333,0.222,0.25,0.333,0.286
BC,1,1,1,1,1,1,1,1,1,1,1,1
BJ,0,0,0,1,1,1,0.75,1,0.857,1,1,1
,0.3,0.1833,0.2167,0.5137,0.676,0.5701,0.4604,0.6998,0.5372,0.5158,0.6655,0.5695
