dataset,phylo_prec,phylo_rec,phylo_f1,sharp_prec,sharp_rec,sharp_f1,tnet_prec,tnet_rec,tnet_f1,tnet_bias_prec,tnet_bias_rec,tnet_bias_f1
SIR01_sl1000_mr15_nv5_19,0.684,0.619,0.65,1,0.429,0.6,1,0.429,0.6,0.684,0.619,0.65
SEIR015_sl250_mr025_nv10_2,0.5,0.045,0.083,0.333,0.091,0.143,0.5,0.091,0.154,0.5,0.182,0.267
SEIR015_sl1000_mr025_nv10_3,1,0.761,0.864,1,0.63,0.773,1,0.565,0.722,0.935,0.935,0.935
SIR01_sl1000_mr15_nv5_17,0.857,0.75,0.8,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875
SEIR01_sl1000_mr025_nv5_14,1,0.6,0.75,1,0.75,0.857,1,0.7,0.824,1,0.9,0.947
SIR01_sl500_mr15_nv10_15,0.75,0.5,0.6,0.933,0.467,0.622,0.929,0.433,0.591,0.792,0.633,0.704
SEIR01_sl1000_mr0125_nv10_9,0.977,0.915,0.945,0.97,0.681,0.8,0.969,0.66,0.785,0.957,0.957,0.957
SEIR015_sl1000_mr025_nv20_12,0.923,0.6,0.727,0.909,0.5,0.645,0.909,0.5,0.645,0.923,0.6,0.727
SIR01_sl1000_mr15_nv20_5,0.667,0.6,0.632,0.857,0.6,0.706,0.857,0.6,0.706,0.7,0.7,0.7
SIR003_sl1000_mr05_nv10_17,0.75,0.429,0.545,1,0.286,0.444,1,0.286,0.444,0.75,0.429,0.545
SIR01_sl1000_mr15_nv10_6,1,0.571,0.727,1,0.429,0.6,1,0.429,0.6,1,0.857,0.923
SEIR015_sl250_mr025_nv10_3,0,0,0,0.143,0.067,0.091,0,0,0,0.222,0.133,0.167
SEIR015_sl500_mr025_nv10_2,0.833,0.625,0.714,0.5,0.25,0.333,0.5,0.25,0.333,0.625,0.625,0.625
SEIR015_sl1000_mr0125_nv10_7,0.98,0.706,0.821,0.971,0.5,0.66,0.967,0.426,0.592,0.983,0.853,0.913
SIR003_sl1000_mr1_nv10_20,0.793,0.667,0.724,1,0.522,0.686,1,0.464,0.634,0.787,0.696,0.738
SIR01_sl1000_mr15_nv5_5,0.625,0.455,0.526,1,0.273,0.429,1,0.273,0.429,0.625,0.455,0.526
SIR003_sl250_mr05_nv10_16,1,0.273,0.429,0.833,0.455,0.588,0.714,0.455,0.556,0.714,0.455,0.556
