Spreaders,Name,Count
2019-12,China,34.96
,Germany,8.65
,Singapore,6.43
,USA,6.40
,Switzerland,6.29
2020-01,China,21.72
,USA,13.45
,Australia,10.61
,Sweden,9.17
,France,9.16
2020-02,Switzerland,26.90
,France,24.50
,Germany,22.29
,Italy,21.67
,USA,21.05
2020-03,USA,8.26
,UnitedKingdom,7.40
,Sweden,7.19
,Poland,7.16
,France,6.62
2020-04,Sweden,0.23
,Oman,0.10
,Bangladesh,0.10
,Chile,0.10
,Portugal,0.05
2020-052020-06

Receivers,Name,Count
2019-12,China,9.55
,Taiwan,7.96
,USA,6.84
,Australia,6.76
,Singapore,6.65
2020-01,Australia,14.98
,USA,11.83
,China,9.21
,Singapore,9.04
,Taiwan,8.55
2020-02,Italy,17.42
,Switzerland,16.93
,France,16.91
,USA,15.54
,UnitedKingdom,15.41
2020-03,Belgium,9.78
,UnitedKingdom,9.68
,Switzerland,6.42
,Canada,6.19
,USA,6.11
2020-04,Russia,0.18
,Australia,0.17
,Chile,0.10
,Oman,0.10
,Sweden,0.09
2020-052020-06
