edges/dates,2019.894471554223, 2019.9268140886848, 2019.9591566231466, 2019.9914991576081, 2020.0238416920697, 2020.0561842265315, 2020.0885267609933, 2020.120869295455
China->USA,1000, 100, 100, 0, 0, 0, 0, 0
USA->China,200, 0, 100, 0, 0, 0, 0, 0
China->Taiwan,200, 0, 0, 0, 0, 0, 0, 0
China->India,100, 100, 0, 0, 0, 0, 0, 0
USA->Taiwan,100, 0, 0, 0, 0, 0, 0, 0
China->VietNam,100, 0, 0, 0, 0, 0, 0, 0
China->Sweden,100, 0, 0, 0, 0, 0, 0, 0
China->SouthKorea,100, 0, 0, 0, 0, 0, 0, 0
China->Spain,100, 0, 0, 0, 0, 0, 0, 0
China->Australia,100, 0, 0, 0, 0, 0, 0, 0
USA->Italy,100, 0, 0, 0, 0, 0, 0, 0
USA->Nepal,0, 0, 100, 0, 0, 0, 0, 0
USA->Pakistan,0, 0, 0, 1, 1, 98, 0, 0
USA->Brazil,0, 0, 0, 0, 0, 0, 1, 99
USA->Spain,0, 0, 0, 0, 0, 0, 0, 100
