edges/dates,2007.8406687321308, 2009.6114571940066, 2011.3822456558821, 2013.1530341177577, 2014.9238225796332, 2016.6946110415088, 2018.4653995033846, 2020.2361879652601
England->Scotland,4, 0, 0, 2, 4, 5, 6, 123
England->Portugal,2, 0, 0, 2, 3, 2, 4, 113
USA->Canada,1, 0, 0, 0, 5, 1, 1, 117
Japan->China,0, 0, 0, 0, 0, 11, 2, 103
China->Japan,2, 0, 0, 0, 3, 7, 0, 102
England->Iceland,1, 0, 0, 1, 1, 4, 3, 88
England->Belgium,0, 0, 0, 0, 1, 5, 3, 87
England->Netherlands,1, 0, 0, 2, 0, 2, 3, 86
China->Singapore,1, 0, 0, 0, 0, 6, 0, 77
Spain->England,0, 0, 0, 0, 1, 6, 0, 76
Luxembourg->France,1, 0, 0, 0, 0, 3, 2, 74
Netherlands->Scotland,0, 0, 0, 4, 0, 5, 1, 67
Australia->USA,0, 0, 0, 0, 1, 1, 6, 67
Australia->Canada,0, 0, 0, 0, 0, 4, 3, 68
USA->Australia,0, 0, 0, 0, 2, 3, 3, 64
Portugal->England,1, 0, 0, 0, 0, 2, 1, 67
England->Germany,2, 0, 0, 0, 1, 5, 2, 59
China->Scotland,1, 0, 0, 0, 1, 2, 2, 63
China->SouthKorea,0, 0, 0, 2, 3, 1, 0, 58
England->Australia,0, 0, 0, 1, 0, 2, 3, 58
Canada->USA,0, 0, 0, 1, 2, 1, 2, 57
Spain->Scotland,0, 0, 0, 0, 0, 3, 2, 58
China->USA,3, 0, 0, 0, 0, 2, 0, 53
England->USA,0, 0, 0, 0, 1, 1, 4, 51
France->Belgium,0, 0, 0, 0, 3, 2, 1, 46
Japan->Singapore,0, 0, 0, 0, 0, 4, 0, 48
Belgium->England,0, 0, 0, 0, 0, 3, 1, 47
Germany->France,0, 0, 0, 0, 0, 2, 5, 44
Belgium->Netherlands,0, 0, 0, 0, 0, 2, 2, 46
Netherlands->England,0, 0, 0, 1, 0, 1, 2, 45
Spain->Portugal,0, 0, 0, 1, 0, 4, 1, 42
Japan->Scotland,0, 0, 0, 0, 0, 1, 1, 46
France->Luxembourg,0, 0, 0, 0, 3, 0, 2, 42
Belgium->France,2, 0, 0, 0, 0, 3, 0, 41
France->USA,0, 0, 0, 0, 0, 3, 4, 39
China->HongKong,2, 0, 0, 0, 2, 1, 0, 40
Australia->France,0, 0, 0, 0, 1, 1, 3, 40
Germany->USA,0, 0, 0, 0, 1, 0, 3, 41
Scotland->Netherlands,0, 0, 0, 0, 0, 1, 0, 44
China->Australia,1, 0, 0, 0, 0, 3, 0, 40
Australia->Norway,0, 0, 0, 0, 1, 1, 2, 40
Belgium->Iceland,0, 0, 0, 0, 1, 2, 1, 39
USA->France,0, 0, 0, 0, 0, 1, 2, 40
Scotland->England,0, 0, 0, 0, 0, 0, 1, 40
China->Taiwan,0, 0, 0, 1, 2, 0, 0, 37
Australia->Taiwan,0, 0, 0, 0, 0, 1, 4, 35
Germany->England,0, 0, 0, 0, 0, 1, 3, 36
England->Spain,1, 0, 0, 1, 1, 0, 1, 35
France->Canada,0, 0, 0, 0, 0, 4, 0, 35
Australia->England,0, 0, 0, 0, 0, 1, 1, 37
Belgium->Portugal,2, 0, 0, 0, 0, 2, 1, 33
England->Finland,1, 0, 0, 1, 0, 0, 1, 35
China->Canada,2, 0, 0, 0, 1, 0, 0, 35
Portugal->Spain,1, 0, 0, 0, 0, 0, 0, 35
France->Germany,0, 0, 0, 0, 0, 1, 0, 35
China->Spain,1, 0, 0, 1, 1, 0, 1, 31
Canada->Australia,0, 0, 0, 0, 3, 1, 0, 31
England->Italy,1, 0, 0, 0, 0, 2, 1, 30
England->Taiwan,1, 0, 0, 1, 0, 2, 2, 28
Australia->Scotland,0, 0, 0, 0, 0, 2, 1, 31
France->Australia,0, 0, 0, 0, 0, 2, 0, 32
Canada->Japan,0, 0, 0, 0, 0, 0, 4, 30
England->Japan,1, 0, 0, 0, 0, 2, 0, 30
Belgium->Luxembourg,0, 0, 0, 0, 0, 1, 0, 31
France->Senegal,0, 0, 0, 0, 0, 1, 0, 31
Netherlands->Portugal,0, 0, 0, 0, 0, 0, 1, 31
France->England,0, 0, 0, 0, 0, 0, 1, 31
Iceland->Scotland,0, 0, 0, 3, 0, 0, 1, 27
Portugal->Netherlands,0, 0, 0, 0, 1, 0, 0, 30
Belgium->DemocraticRepublicoftheCongo,0, 0, 0, 0, 0, 1, 1, 29
Australia->Germany,0, 0, 0, 0, 0, 3, 1, 27
Iceland->Netherlands,0, 0, 0, 4, 0, 0, 2, 24
England->Luxembourg,0, 0, 0, 2, 1, 0, 1, 26
Japan->HongKong,0, 0, 0, 0, 0, 2, 1, 27
Spain->Luxembourg,0, 0, 0, 0, 0, 3, 0, 27
Germany->Netherlands,0, 0, 0, 0, 0, 1, 2, 27
Canada->Belgium,0, 0, 0, 0, 0, 0, 1, 29
Portugal->Scotland,1, 0, 0, 0, 1, 0, 0, 27
