dataset,sharp_prec,sharp_rec,sharp_f1,tnet_prec,tnet_rec,tnet_f1,tnet_min_prec,tnet_min_rec,tnet_min_f1
SIR01_sl1000_mr15_nv5_19,1,0.429,0.6,0.684,0.619,0.65,0.684,0.619,0.65
SEIR015_sl250_mr025_nv10_2,0.333,0.091,0.143,0.5,0.182,0.267,0.5,0.273,0.353
SEIR015_sl1000_mr025_nv10_3,1,0.609,0.757,0.956,0.935,0.945,0.935,0.935,0.935
SIR01_sl1000_mr15_nv5_17,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875
SEIR01_sl1000_mr025_nv5_14,1,0.7,0.824,1,0.9,0.947,1,0.95,0.974
SIR01_sl500_mr15_nv10_15,0.933,0.467,0.622,0.773,0.567,0.654,0.75,0.7,0.724
SEIR01_sl1000_mr0125_nv10_9,0.97,0.681,0.8,0.957,0.957,0.957,0.957,0.957,0.957
SEIR015_sl1000_mr025_nv20_12,0.909,0.5,0.645,0.923,0.6,0.727,0.923,0.6,0.727
SIR01_sl1000_mr15_nv20_5,0.857,0.6,0.706,0.7,0.7,0.7,0.7,0.7,0.7
SIR003_sl1000_mr05_nv10_17,1,0.286,0.444,0.75,0.429,0.545,0.75,0.429,0.545
SIR01_sl1000_mr15_nv10_6,1,0.429,0.6,1,0.714,0.833,1,0.714,0.833
SEIR015_sl250_mr025_nv10_3,0.167,0.067,0.095,0.25,0.133,0.174,0.222,0.133,0.167
SEIR015_sl500_mr025_nv10_2,0.5,0.25,0.333,0.625,0.625,0.625,0.625,0.625,0.625
SEIR015_sl1000_mr0125_nv10_7,0.97,0.471,0.634,0.983,0.853,0.913,0.984,0.882,0.93
SIR003_sl1000_mr1_nv10_20,1,0.478,0.647,0.78,0.667,0.719,0.783,0.681,0.729
SIR01_sl1000_mr15_nv5_5,1,0.273,0.429,0.625,0.455,0.526,0.625,0.455,0.526
SIR003_sl250_mr05_nv10_16,0.833,0.455,0.588,0.714,0.455,0.556,0.714,0.455,0.556
SIR003_sl1000_mr05_nv5_17,1,0.333,0.5,0.63,0.604,0.617,0.63,0.604,0.617
SIR01_sl500_mr15_nv10_7,0.75,0.429,0.545,0.833,0.714,0.769,0.833,0.714,0.769
SIR01_sl1000_mr075_nv10_18,1,0.727,0.842,0.9,0.818,0.857,0.9,0.818,0.857
SIR01_sl1000_mr3_nv10_14,1,0.571,0.727,0.913,0.75,0.824,0.913,0.75,0.824
SIR01_sl500_mr15_nv10_20,1,0.52,0.684,0.941,0.64,0.762,0.941,0.64,0.762
SEIR015_sl1000_mr0125_nv10_15,0.867,0.289,0.433,0.93,0.889,0.909,0.93,0.889,0.909
SIR003_sl1000_mr025_nv10_7,0.857,0.375,0.522,0.692,0.562,0.621,0.692,0.562,0.621
SEIR015_sl250_mr025_nv10_9,0.75,0.2,0.316,0.929,0.867,0.897,0.929,0.867,0.897
SEIR015_sl250_mr025_nv10_10,0.708,0.288,0.41,0.875,0.237,0.373,0.771,0.458,0.574
SEIR01_sl1000_mr025_nv10_11,0.966,0.8,0.875,0.941,0.914,0.928,0.914,0.914,0.914
SIR01_sl1000_mr075_nv10_17,0.969,0.437,0.602,0.812,0.549,0.655,0.763,0.634,0.692
SEIR01_sl1000_mr025_nv10_13,0.667,0.3,0.414,0.857,0.9,0.878,0.857,0.9,0.878
SIR01_sl1000_mr15_nv20_12,1,0.467,0.636,0.727,0.533,0.615,0.727,0.533,0.615
SEIR01_sl500_mr025_nv10_10,0.7,0.5,0.583,0.733,0.786,0.759,0.733,0.786,0.759
SIR003_sl1000_mr05_nv5_18,1,0.375,0.545,0.75,0.75,0.75,0.75,0.75,0.75
SIR01_sl500_mr15_nv10_14,0.895,0.436,0.586,0.667,0.513,0.58,0.645,0.513,0.571
SIR003_sl500_mr05_nv10_6,0.7,0.333,0.452,0.579,0.524,0.55,0.579,0.524,0.55
SIR01_sl1000_mr075_nv10_7,1,0.625,0.769,0.917,0.917,0.917,0.917,0.917,0.917
SEIR01_sl1000_mr05_nv10_20,0.974,0.731,0.835,0.96,0.923,0.941,0.96,0.923,0.941
SIR003_sl250_mr05_nv10_4,0.778,0.583,0.667,0.667,0.667,0.667,0.667,0.667,0.667
SEIR01_sl500_mr025_nv10_3,0.882,0.714,0.789,0.85,0.81,0.829,0.85,0.81,0.829
SIR003_sl1000_mr05_nv5_19,0.923,0.353,0.511,0.581,0.529,0.554,0.581,0.529,0.554
SEIR015_sl1000_mr025_nv20_4,0.875,0.424,0.571,0.912,0.939,0.925,0.912,0.939,0.925
SIR003_sl1000_mr025_nv10_5,1,0.571,0.727,1,0.714,0.833,1,0.714,0.833
SEIR015_sl250_mr025_nv10_5,0.667,0.5,0.571,0.667,0.75,0.706,0.667,0.75,0.706
SIR01_sl500_mr15_nv10_18,0.917,0.44,0.595,0.824,0.56,0.667,0.824,0.56,0.667
SIR01_sl1000_mr3_nv10_5,0.933,0.5,0.651,0.84,0.75,0.792,0.84,0.75,0.792
SEIR015_sl1000_mr0125_nv10_19,1,0.548,0.708,1,0.613,0.76,1,0.613,0.76
SIR003_sl500_mr05_nv10_10,1,0.385,0.556,0.679,0.487,0.567,0.679,0.487,0.567
SEIR015_sl1000_mr025_nv20_11,0.818,0.692,0.75,0.857,0.923,0.889,0.857,0.923,0.889
SEIR015_sl250_mr025_nv10_6,0.591,0.371,0.456,0.636,0.6,0.618,0.657,0.657,0.657
SIR003_sl1000_mr05_nv20_3,1,0.615,0.762,1,0.615,0.762,1,0.615,0.762
SEIR015_sl1000_mr025_nv20_1,1,0.4,0.571,1,0.8,0.889,1,0.8,0.889
SEIR015_sl1000_mr0125_nv10_3,1,0.667,0.8,0.889,0.889,0.889,0.889,0.889,0.889
SIR01_sl1000_mr15_nv5_12,0.8,0.348,0.485,0.75,0.652,0.698,0.75,0.652,0.698
SIR003_sl1000_mr05_nv10_3,1,0.6,0.75,0.875,0.7,0.778,0.875,0.7,0.778
SEIR01_sl1000_mr025_nv10_17,0.897,0.578,0.703,0.814,0.778,0.795,0.814,0.778,0.795
SIR01_sl1000_mr15_nv10_20,0.778,0.778,0.778,0.778,0.778,0.778,0.778,0.778,0.778
SIR003_sl500_mr05_nv10_12,0.8,0.462,0.585,0.607,0.654,0.63,0.607,0.654,0.63
SEIR015_sl1000_mr025_nv5_14,0.889,0.533,0.667,0.765,0.867,0.812,0.765,0.867,0.812
SIR01_sl1000_mr3_nv10_13,1,0.556,0.714,0.815,0.611,0.698,0.815,0.611,0.698
SEIR015_sl1000_mr05_nv10_15,1,0.091,0.167,1,0.818,0.9,1,0.909,0.952
SEIR015_sl250_mr025_nv10_4,0.905,0.76,0.826,0.833,0.8,0.816,0.833,0.8,0.816
SEIR015_sl1000_mr025_nv20_6,0.821,0.605,0.697,0.865,0.842,0.853,0.842,0.842,0.842
SEIR015_sl1000_mr05_nv10_14,0.824,0.304,0.444,0.923,0.783,0.847,0.9,0.783,0.837
SEIR01_sl250_mr025_nv10_5,0.808,0.512,0.627,0.75,0.585,0.658,0.727,0.585,0.649
SIR003_sl1000_mr05_nv20_4,1,0.531,0.694,0.926,0.781,0.847,0.926,0.781,0.847
SEIR01_sl500_mr025_nv10_5,0.75,0.6,0.667,0.75,0.6,0.667,0.6,0.6,0.6
SIR003_sl1000_mr05_nv5_9,0.917,0.458,0.611,0.765,0.542,0.634,0.765,0.542,0.634
SEIR015_sl250_mr025_nv10_16,0.455,0.185,0.263,0.667,0.444,0.533,0.696,0.593,0.64
SEIR015_sl250_mr025_nv10_18,0.333,0.091,0.143,0.75,0.545,0.632,0.75,0.545,0.632
SEIR015_sl1000_mr025_nv5_5,0.75,0.143,0.24,0.833,0.476,0.606,0.833,0.476,0.606
SEIR015_sl1000_mr025_nv20_7,1,0.75,0.857,0.943,0.917,0.93,0.943,0.917,0.93
SIR003_sl1000_mr05_nv5_12,1,0.833,0.909,1,0.833,0.909,1,0.833,0.909
SEIR01_sl250_mr025_nv10_17,0.571,0.5,0.533,0.625,0.625,0.625,0.5,0.625,0.556
SIR01_sl1000_mr15_nv5_8,1,0.375,0.545,0.429,0.375,0.4,0.429,0.375,0.4
SIR01_sl500_mr15_nv10_5,0.931,0.519,0.667,0.857,0.692,0.766,0.841,0.712,0.771
SEIR01_sl1000_mr025_nv5_20,0.923,0.5,0.649,0.933,0.583,0.718,0.933,0.583,0.718
SEIR01_sl1000_mr0125_nv10_12,1,0.2,0.333,1,0.2,0.333,1,0.2,0.333
SEIR015_sl500_mr025_nv10_7,0.886,0.5,0.639,0.902,0.742,0.814,0.904,0.758,0.825
SEIR015_sl1000_mr025_nv5_18,0.806,0.455,0.581,0.848,0.709,0.772,0.848,0.709,0.772
SIR01_sl1000_mr3_nv10_15,0.8,0.444,0.571,0.667,0.667,0.667,0.667,0.667,0.667
SIR003_sl250_mr05_nv10_10,0.6,0.316,0.414,0.6,0.474,0.529,0.625,0.526,0.571
SEIR015_sl1000_mr025_nv5_2,1,0.222,0.364,1,0.556,0.714,1,0.778,0.875
SIR003_sl250_mr05_nv10_8,0.875,0.412,0.56,0.9,0.529,0.667,0.9,0.529,0.667
SEIR015_sl250_mr025_nv10_12,0.655,0.442,0.528,0.73,0.628,0.675,0.689,0.721,0.705
SIR01_sl500_mr15_nv10_2,0.923,0.571,0.706,0.778,0.667,0.718,0.778,0.667,0.718
SIR003_sl1000_mr05_nv5_20,1,0.308,0.471,0.833,0.769,0.8,0.833,0.769,0.8
SIR003_sl500_mr05_nv10_8,0.889,0.533,0.667,0.667,0.667,0.667,0.667,0.667,0.667
SIR01_sl1000_mr15_nv20_7,1,0.607,0.756,0.923,0.857,0.889,0.923,0.857,0.889
SIR01_sl500_mr15_nv10_8,0.75,0.375,0.5,0.75,0.375,0.5,0.75,0.375,0.5
SEIR01_sl1000_mr025_nv5_13,0.9,0.75,0.818,0.917,0.917,0.917,0.917,0.917,0.917
SEIR01_sl250_mr025_nv10_20,0.867,0.722,0.788,0.684,0.722,0.703,0.684,0.722,0.703
SEIR01_sl1000_mr025_nv20_13,0.979,0.793,0.876,0.864,0.879,0.872,0.864,0.879,0.872
SIR003_sl1000_mr05_nv10_13,1,0.571,0.727,0.833,0.714,0.769,0.833,0.714,0.769
SEIR015_sl500_mr025_nv10_3,0.917,0.297,0.449,0.923,0.649,0.762,0.926,0.676,0.781
SIR01_sl1000_mr3_nv10_4,1,0.583,0.737,0.917,0.917,0.917,0.917,0.917,0.917
SEIR01_sl1000_mr05_nv10_14,0.96,0.615,0.75,0.941,0.821,0.877,0.943,0.846,0.892
SIR01_sl250_mr15_nv10_6,0.684,0.302,0.419,0.611,0.256,0.361,0.632,0.279,0.387
SIR01_sl250_mr15_nv10_14,0.667,0.267,0.381,0.714,0.333,0.455,0.636,0.467,0.538
SIR003_sl1000_mr05_nv10_7,1,0.739,0.85,0.905,0.826,0.864,0.905,0.826,0.864
SIR01_sl250_mr15_nv10_20,0.5,0.143,0.222,0.571,0.571,0.571,0.571,0.571,0.571
SIR01_sl1000_mr3_nv10_3,1,0.5,0.667,0.812,0.65,0.722,0.812,0.65,0.722
SEIR015_sl250_mr025_nv10_14,0.6,0.48,0.533,0.6,0.48,0.533,0.636,0.56,0.596
SIR003_sl1000_mr05_nv5_6,1,0.273,0.429,0.571,0.364,0.444,0.571,0.364,0.444
SIR01_sl500_mr15_nv10_4,1,0.49,0.658,0.854,0.714,0.778,0.854,0.714,0.778
SIR01_sl1000_mr15_nv10_11,1,0.583,0.737,0.667,0.667,0.667,0.667,0.667,0.667
SEIR015_sl1000_mr0125_nv10_14,0.95,0.731,0.826,0.92,0.885,0.902,0.922,0.904,0.913
SEIR01_sl1000_mr05_nv10_13,0.75,0.375,0.5,0.875,0.875,0.875,0.875,0.875,0.875
SIR003_sl1000_mr05_nv10_11,0.85,0.486,0.618,0.75,0.6,0.667,0.75,0.6,0.667
SEIR01_sl250_mr025_nv10_16,0.724,0.457,0.56,0.6,0.457,0.519,0.605,0.5,0.548
SEIR01_sl250_mr025_nv10_2,0.727,0.571,0.64,0.667,0.571,0.615,0.692,0.643,0.667
SEIR01_sl1000_mr0125_nv10_8,0.667,0.333,0.444,0.8,0.667,0.727,0.8,0.667,0.727
SEIR01_sl1000_mr025_nv10_9,0.939,0.66,0.775,0.894,0.894,0.894,0.894,0.894,0.894
SIR003_sl500_mr05_nv10_7,0.7,0.389,0.5,0.615,0.444,0.516,0.643,0.5,0.563
SIR01_sl500_mr15_nv10_12,1,0.333,0.5,0.5,0.167,0.25,0.667,0.333,0.444
SIR01_sl1000_mr3_nv10_19,0.909,0.333,0.488,0.583,0.467,0.519,0.583,0.467,0.519
SIR01_sl1000_mr15_nv5_14,1,0.5,0.667,0.789,0.682,0.732,0.789,0.682,0.732
SEIR015_sl1000_mr025_nv5_8,1,0.348,0.516,0.87,0.87,0.87,0.87,0.87,0.87
SIR01_sl1000_mr075_nv10_9,1,0.519,0.683,0.773,0.63,0.694,0.773,0.63,0.694
SIR003_sl1000_mr05_nv10_5,0.786,0.239,0.367,0.575,0.5,0.535,0.575,0.5,0.535
SIR01_sl1000_mr075_nv10_11,0.833,0.714,0.769,0.75,0.857,0.8,0.75,0.857,0.8
SIR003_sl500_mr05_nv10_14,0.8,0.485,0.604,0.708,0.515,0.596,0.708,0.515,0.596
SEIR01_sl1000_mr0125_nv10_14,0.958,0.767,0.852,0.964,0.9,0.931,0.964,0.9,0.931
SIR01_sl1000_mr15_nv10_19,0.889,0.889,0.889,0.889,0.889,0.889,0.889,0.889,0.889
SIR01_sl250_mr15_nv10_3,0.833,0.357,0.5,0.7,0.5,0.583,0.7,0.5,0.583
SIR01_sl250_mr15_nv10_16,0.846,0.478,0.611,0.786,0.478,0.595,0.786,0.478,0.595
SIR01_sl1000_mr15_nv10_5,1,0.7,0.824,1,0.8,0.889,1,0.8,0.889
SEIR015_sl1000_mr025_nv5_11,0.882,0.319,0.469,0.974,0.787,0.871,0.974,0.787,0.871
SEIR015_sl1000_mr025_nv5_13,0.909,0.323,0.476,0.963,0.839,0.897,0.963,0.839,0.897
SIR01_sl1000_mr15_nv10_10,1,0.531,0.694,0.792,0.594,0.679,0.8,0.625,0.702
SIR01_sl250_mr15_nv10_2,0.833,0.556,0.667,0.875,0.778,0.824,0.875,0.778,0.824
SEIR015_sl1000_mr025_nv20_15,1,0.583,0.737,0.947,0.75,0.837,0.947,0.75,0.837
SEIR015_sl1000_mr025_nv10_2,0.947,0.321,0.48,0.958,0.821,0.885,0.887,0.839,0.862
SIR01_sl1000_mr15_nv10_12,1,0.417,0.588,0.765,0.542,0.634,0.722,0.542,0.619
SEIR015_sl1000_mr05_nv10_11,0.75,0.375,0.5,0.75,0.375,0.5,0.6,0.375,0.462
SIR01_sl1000_mr15_nv5_20,0.9,0.529,0.667,0.833,0.882,0.857,0.833,0.882,0.857
SEIR015_sl1000_mr05_nv10_12,0.875,0.875,0.875,0.727,1,0.842,0.727,1,0.842
SEIR015_sl1000_mr05_nv10_6,1,0.433,0.605,0.935,0.967,0.951,0.935,0.967,0.951
SEIR015_sl1000_mr0125_nv10_16,0.911,0.651,0.759,0.904,0.746,0.817,0.887,0.746,0.81
SIR01_sl1000_mr3_nv10_16,0.952,0.625,0.755,0.926,0.781,0.847,0.926,0.781,0.847
SEIR01_sl1000_mr025_nv5_18,0.97,0.681,0.8,0.913,0.894,0.903,0.913,0.894,0.903
SIR003_sl250_mr05_nv10_11,0.714,0.417,0.526,0.625,0.417,0.5,0.625,0.417,0.5
SIR01_sl1000_mr3_nv10_9,1,0.517,0.682,0.895,0.586,0.708,0.895,0.586,0.708
SEIR01_sl500_mr025_nv10_9,0.875,0.778,0.824,0.778,0.778,0.778,0.778,0.778,0.778
SEIR01_sl500_mr025_nv10_19,0.625,0.625,0.625,0.667,0.75,0.706,0.6,0.75,0.667
SIR003_sl1000_mr05_nv20_1,1,0.657,0.793,0.867,0.743,0.8,0.867,0.743,0.8
SEIR01_sl1000_mr025_nv5_8,0.941,0.696,0.8,0.87,0.87,0.87,0.87,0.87,0.87
SEIR01_sl500_mr025_nv10_6,0.952,0.755,0.842,0.911,0.962,0.936,0.911,0.962,0.936
SIR003_sl1000_mr025_nv10_19,1,0.5,0.667,0.68,0.708,0.694,0.68,0.708,0.694
SEIR015_sl1000_mr05_nv10_1,0.833,0.294,0.435,0.8,0.706,0.75,0.8,0.706,0.75
SIR003_sl1000_mr05_nv5_11,0.889,0.387,0.539,0.739,0.548,0.63,0.739,0.548,0.63
SIR01_sl500_mr15_nv10_11,0.889,0.471,0.615,0.722,0.765,0.743,0.722,0.765,0.743
SIR003_sl1000_mr05_nv5_14,0.933,0.483,0.636,0.773,0.586,0.667,0.773,0.586,0.667
SIR003_sl1000_mr025_nv10_2,1,0.737,0.848,1,0.737,0.848,1,0.737,0.848
SIR003_sl500_mr05_nv10_1,0.833,0.714,0.769,0.833,0.714,0.769,0.833,0.714,0.769
SEIR01_sl250_mr025_nv10_9,0.844,0.623,0.717,0.833,0.656,0.734,0.82,0.672,0.739
SIR003_sl1000_mr05_nv10_14,1,0.9,0.947,1,0.9,0.947,1,0.9,0.947
SIR003_sl250_mr05_nv10_19,0.556,0.2,0.294,0.444,0.16,0.235,0.444,0.16,0.235
SEIR015_sl1000_mr05_nv10_5,0.857,0.545,0.667,1,0.818,0.9,0.9,0.818,0.857
SEIR015_sl1000_mr025_nv20_2,1,0.64,0.78,0.958,0.92,0.939,0.958,0.92,0.939
SEIR01_sl1000_mr0125_nv10_4,0.875,0.583,0.7,0.826,0.792,0.809,0.826,0.792,0.809
SEIR015_sl1000_mr025_nv20_19,0.667,0.364,0.471,0.7,0.636,0.667,0.7,0.636,0.667
SEIR015_sl1000_mr025_nv20_16,0.909,0.667,0.769,0.9,0.9,0.9,0.9,0.9,0.9
SIR01_sl500_mr15_nv10_19,0.933,0.519,0.667,0.773,0.63,0.694,0.773,0.63,0.694
SEIR015_sl500_mr025_nv10_1,1,0.5,0.667,0.727,0.8,0.762,0.727,0.8,0.762
SIR003_sl1000_mr025_nv10_12,0.971,0.673,0.795,0.796,0.796,0.796,0.796,0.796,0.796
SIR003_sl1000_mr05_nv5_8,1,0.32,0.485,0.812,0.52,0.634,0.812,0.52,0.634
SIR01_sl250_mr15_nv10_19,1,0.714,0.833,0.833,0.714,0.769,0.833,0.714,0.769
SIR003_sl1000_mr05_nv10_4,0.9,0.692,0.783,0.833,0.769,0.8,0.833,0.769,0.8
SIR003_sl500_mr05_nv10_18,1,0.462,0.632,0.769,0.769,0.769,0.769,0.769,0.769
SIR01_sl1000_mr15_nv5_11,0.75,0.333,0.462,0.667,0.667,0.667,0.667,0.667,0.667
SIR01_sl1000_mr15_nv5_13,0.857,0.75,0.8,0.812,0.812,0.812,0.812,0.812,0.812
SEIR01_sl1000_mr0125_nv10_2,1,0.731,0.844,1,1,1,1,1,1
SIR01_sl1000_mr15_nv10_14,1,0.5,0.667,0.889,1,0.941,0.889,1,0.941
