dataset,sharp_prec,sharp_rec,sharp_f1,tnet_prec,tnet_rec,tnet_f1,tnet_min_prec,tnet_min_rec,tnet_min_f1
SIR01_sl1000_mr15_nv5_19,0.8,0.571,0.667,0,0,0,0.667,0.667,0.667
SEIR015_sl250_mr025_nv10_2,0.273,0.136,0.182,0.5,0.273,0.353,0.5,0.273,0.353
SEIR015_sl1000_mr025_nv10_3,0.907,0.848,0.876,0.915,0.935,0.925,0.915,0.935,0.925
SIR01_sl1000_mr15_nv5_17,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875
SEIR01_sl1000_mr025_nv5_14,1,0.9,0.947,1,0.9,0.947,1,0.95,0.974
SIR01_sl500_mr15_nv10_15,0.773,0.567,0.654,0.769,0.667,0.714,0.733,0.733,0.733
SEIR01_sl1000_mr0125_nv10_9,0.976,0.872,0.921,0.938,0.957,0.947,0.957,0.957,0.957
SEIR015_sl1000_mr025_nv20_12,0.857,0.6,0.706,0.923,0.6,0.727,0.857,0.6,0.706
SIR01_sl1000_mr15_nv20_5,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7
SIR003_sl1000_mr05_nv10_17,0.75,0.429,0.545,0.75,0.429,0.545,0.75,0.429,0.545
SIR01_sl1000_mr15_nv10_6,0.778,1,0.875,1,1,1,1,1,1
SEIR015_sl250_mr025_nv10_3,0.3,0.2,0.24,0.222,0.133,0.167,0.222,0.133,0.167
SEIR015_sl500_mr025_nv10_2,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625
SEIR015_sl1000_mr0125_nv10_7,0.929,0.765,0.839,0.983,0.868,0.922,0.984,0.912,0.947
SIR003_sl1000_mr1_nv10_20,0.923,0.696,0.793,0.778,0.71,0.742,0.773,0.739,0.756
SIR01_sl1000_mr15_nv5_5,0.667,0.364,0.471,0.636,0.636,0.636,0.636,0.636,0.636
SIR003_sl250_mr05_nv10_16,0.714,0.455,0.556,0.714,0.455,0.556,0.625,0.455,0.526
SIR003_sl1000_mr05_nv5_17,0.794,0.562,0.659,0.638,0.625,0.632,0.638,0.625,0.632
SIR01_sl500_mr15_nv10_7,0.778,1,0.875,0.75,0.857,0.8,0.75,0.857,0.8
SIR01_sl1000_mr075_nv10_18,0.833,0.909,0.87,0.818,0.818,0.818,0.818,0.818,0.818
SIR01_sl1000_mr3_nv10_14,0.885,0.821,0.852,0.917,0.786,0.846,0.913,0.75,0.824
SIR01_sl500_mr15_nv10_20,0.944,0.68,0.791,0.944,0.68,0.791,0.947,0.72,0.818
SEIR015_sl1000_mr0125_nv10_15,0.806,0.556,0.658,0.932,0.911,0.921,0.932,0.911,0.921
SIR003_sl1000_mr025_nv10_7,0.643,0.562,0.6,0.6,0.562,0.581,0.6,0.562,0.581
SEIR015_sl250_mr025_nv10_9,0.818,0.6,0.692,0.929,0.867,0.897,0.929,0.867,0.897
SEIR015_sl250_mr025_nv10_10,0.677,0.356,0.467,0.833,0.254,0.39,0.778,0.475,0.589
SEIR01_sl1000_mr025_nv10_11,0.914,0.914,0.914,0.889,0.914,0.901,0.889,0.914,0.901
SIR01_sl1000_mr075_nv10_17,0.848,0.549,0.667,0.763,0.634,0.692,0.716,0.676,0.696
SEIR01_sl1000_mr025_nv10_13,0.824,0.7,0.757,0.857,0.9,0.878,0.857,0.9,0.878
SIR01_sl1000_mr15_nv20_12,0.889,0.533,0.667,0.727,0.533,0.615,0.667,0.533,0.593
SEIR01_sl500_mr025_nv10_10,0.733,0.786,0.759,0.733,0.786,0.759,0.733,0.786,0.759
SIR003_sl1000_mr05_nv5_18,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75
SIR01_sl500_mr15_nv10_14,0.786,0.564,0.657,0.636,0.538,0.583,0.618,0.538,0.575
SIR003_sl500_mr05_nv10_6,0.667,0.571,0.615,0.571,0.571,0.571,0.571,0.571,0.571
SIR01_sl1000_mr075_nv10_7,0.909,0.833,0.87,0.917,0.917,0.917,0.917,0.917,0.917
SEIR01_sl1000_mr05_nv10_20,0.978,0.865,0.918,0.906,0.923,0.914,0.906,0.923,0.914
SIR003_sl250_mr05_nv10_4,0.636,0.583,0.609,0.667,0.667,0.667,0.667,0.667,0.667
SEIR01_sl500_mr025_nv10_3,0.889,0.762,0.821,0.81,0.81,0.81,0.85,0.81,0.829
