dataset,phylo_prec,phylo_rec,phylo_f1,tnet_prec,tnet_rec,tnet_f1,tnet_bias_prec,tnet_bias_rec,tnet_bias_f1
SEIR015_sl1000_mr0125_nv10_8,1,0.778,0.875,0.889,0.889,0.889,0.85,0.944,0.895
SEIR015_sl1000_mr0125_nv10_9,0.75,0.429,0.545,0.857,0.286,0.429,0.55,0.524,0.537
SEIR015_sl1000_mr025_nv10_1,1,0.6,0.75,1,0.9,0.947,1,0.9,0.947
SEIR015_sl1000_mr025_nv10_10,0.833,0.455,0.588,0.8,0.364,0.5,0.909,0.909,0.909
SEIR015_sl1000_mr025_nv10_11,0.977,0.75,0.848,0.932,0.732,0.82,0.947,0.964,0.956
SEIR015_sl1000_mr025_nv10_12,1,0.2,0.333,1,0.3,0.462,1,0.5,0.667
SEIR015_sl1000_mr025_nv10_13,1,0.1,0.182,0.5,0.2,0.286,0.5,0.2,0.286
SEIR015_sl1000_mr025_nv10_14,0.895,0.68,0.773,0.76,0.76,0.76,0.724,0.84,0.778
SEIR015_sl1000_mr025_nv10_15,1,0.483,0.651,1,0.328,0.494,1,0.483,0.651
SEIR015_sl1000_mr025_nv10_16,1,0.571,0.727,0.929,0.929,0.929,0.933,1,0.966
SEIR015_sl1000_mr025_nv10_17,0.9,0.711,0.794,0.862,0.658,0.746,0.892,0.868,0.88
SEIR015_sl1000_mr025_nv10_18,1,0.595,0.746,0.9,0.73,0.806,0.879,0.784,0.829
SEIR015_sl1000_mr025_nv10_19,0.933,0.737,0.824,0.882,0.789,0.833,0.944,0.895,0.919
SEIR015_sl1000_mr025_nv10_2,0.976,0.732,0.837,0.914,0.571,0.703,0.889,0.857,0.873
SEIR015_sl1000_mr025_nv10_20,1,0.375,0.545,0.857,0.75,0.8,0.75,0.75,0.75
SEIR015_sl1000_mr025_nv10_3,1,0.761,0.864,0.907,0.848,0.876,0.915,0.935,0.925
SEIR015_sl1000_mr025_nv10_4,0.972,0.795,0.875,0.919,0.773,0.84,0.872,0.932,0.901
SEIR015_sl1000_mr025_nv10_5,0.947,0.75,0.837,0.884,0.792,0.835,0.878,0.896,0.887
SEIR015_sl1000_mr025_nv10_6,0.93,0.87,0.899,0.974,0.804,0.881,0.915,0.935,0.925
SEIR015_sl1000_mr025_nv10_7,0.833,0.556,0.667,0.889,0.889,0.889,0.889,0.889,0.889
SEIR015_sl1000_mr025_nv10_8,1,0.7,0.824,1,0.8,0.889,0.895,0.85,0.872
SEIR015_sl1000_mr025_nv10_9,1,0.875,0.933,0.962,0.893,0.926,0.964,0.964,0.964
SEIR015_sl1000_mr025_nv20_1,1,0.6,0.75,0.867,0.867,0.867,1,0.933,0.966
SEIR015_sl1000_mr025_nv20_10,0.75,0.333,0.462,0.7,0.778,0.737,0.7,0.778,0.737
SEIR015_sl1000_mr025_nv20_11,1,0.692,0.818,0.833,0.769,0.8,0.857,0.923,0.889
SEIR015_sl1000_mr025_nv20_12,0.923,0.6,0.727,0.923,0.6,0.727,0.923,0.6,0.727
SEIR015_sl1000_mr025_nv20_13,1,0.222,0.364,0.692,1,0.818,0.75,1,0.857
SEIR015_sl1000_mr025_nv20_14,0.952,0.909,0.93,0.857,0.818,0.837,0.955,0.955,0.955
SEIR015_sl1000_mr025_nv20_15,1,0.417,0.588,0.941,0.667,0.78,0.952,0.833,0.889
SEIR015_sl1000_mr025_nv20_16,0.929,0.867,0.897,0.893,0.833,0.862,0.9,0.9,0.9
SEIR015_sl1000_mr025_nv20_17,0.979,0.839,0.904,0.957,0.786,0.863,0.981,0.929,0.954
SEIR015_sl1000_mr025_nv20_18,0.955,0.538,0.689,0.926,0.641,0.758,0.829,0.744,0.784
SEIR015_sl1000_mr025_nv20_19,0.667,0.182,0.286,0.538,0.636,0.583,0.467,0.636,0.538
SEIR015_sl1000_mr025_nv20_2,1,0.6,0.75,1,0.84,0.913,0.958,0.92,0.939
SEIR015_sl1000_mr025_nv20_20,0.833,0.526,0.645,0.688,0.579,0.629,0.684,0.684,0.684
SEIR015_sl1000_mr025_nv20_3,1,0.636,0.778,0.951,0.591,0.729,0.946,0.803,0.869
SEIR015_sl1000_mr025_nv20_4,0.963,0.788,0.867,0.875,0.636,0.737,0.886,0.939,0.912
SEIR015_sl1000_mr025_nv20_5,0.972,0.897,0.933,0.912,0.795,0.849,0.925,0.949,0.937
SEIR015_sl1000_mr025_nv20_6,0.895,0.447,0.596,0.833,0.789,0.811,0.842,0.842,0.842
SEIR015_sl1000_mr025_nv20_7,0.935,0.806,0.866,1,0.861,0.925,0.944,0.944,0.944
SEIR015_sl1000_mr025_nv20_8,0.979,0.701,0.817,0.959,0.701,0.81,0.963,0.776,0.86
SEIR015_sl1000_mr025_nv20_9,0.812,0.722,0.765,0.692,0.5,0.581,0.722,0.722,0.722
SEIR015_sl1000_mr025_nv5_1,1,0.357,0.526,0.857,0.429,0.571,0.857,0.429,0.571
SEIR015_sl1000_mr025_nv5_10,1,0.306,0.468,0.842,0.444,0.582,0.85,0.472,0.607
SEIR015_sl1000_mr025_nv5_11,0.971,0.723,0.829,0.963,0.553,0.703,0.975,0.83,0.897
SEIR015_sl1000_mr025_nv5_12,0.778,0.636,0.7,0.429,0.273,0.333,0.636,0.636,0.636
SEIR015_sl1000_mr025_nv5_13,1,0.71,0.83,0.913,0.677,0.778,0.964,0.871,0.915
SEIR015_sl1000_mr025_nv5_14,1,0.467,0.636,0.688,0.733,0.71,0.765,0.867,0.812
SEIR015_sl1000_mr025_nv5_15,0.911,0.631,0.745,0.884,0.585,0.704,0.875,0.754,0.81
SEIR015_sl1000_mr025_nv5_16,1,0.846,0.917,1,0.615,0.762,1,0.885,0.939
SEIR015_sl1000_mr025_nv5_17,1,0.732,0.845,0.892,0.805,0.846,0.902,0.902,0.902
SEIR015_sl1000_mr025_nv5_18,0.923,0.655,0.766,0.85,0.618,0.716,0.84,0.764,0.8
SEIR015_sl1000_mr025_nv5_19,1,0.182,0.308,0.833,0.455,0.588,0.857,0.545,0.667
SEIR015_sl1000_mr025_nv5_2,1,0.556,0.714,1,0.667,0.8,1,0.667,0.8
SEIR015_sl1000_mr025_nv5_20,1,0.61,0.758,0.926,0.61,0.735,0.919,0.829,0.872
SEIR015_sl1000_mr025_nv5_3,0.846,0.407,0.55,0.867,0.481,0.619,0.8,0.593,0.681
SEIR015_sl1000_mr025_nv5_4,0.919,0.68,0.782,0.909,0.6,0.723,0.927,0.76,0.835
SEIR015_sl1000_mr025_nv5_5,0.778,0.333,0.467,0.75,0.286,0.414,0.833,0.476,0.606
SEIR015_sl1000_mr025_nv5_6,0.958,0.371,0.535,0.87,0.323,0.471,0.9,0.435,0.587
SEIR015_sl1000_mr025_nv5_7,0.87,0.769,0.816,0.789,0.577,0.667,0.815,0.846,0.83
SEIR015_sl1000_mr025_nv5_8,0.941,0.696,0.8,0.833,0.652,0.732,0.8,0.87,0.833
SEIR015_sl1000_mr025_nv5_9,1,0.4,0.571,0.714,0.375,0.492,0.8,0.5,0.615
SEIR015_sl1000_mr05_nv10_1,0.917,0.647,0.759,0.769,0.588,0.667,0.75,0.706,0.727
SEIR015_sl1000_mr05_nv10_10,1,0.444,0.615,0.857,0.667,0.75,0.778,0.778,0.778
SEIR015_sl1000_mr05_nv10_11,0.667,0.25,0.364,0.6,0.375,0.462,0.6,0.375,0.462
SEIR015_sl1000_mr05_nv10_12,1,0.125,0.222,0.727,1,0.842,0.727,1,0.842
SEIR015_sl1000_mr05_nv10_13,0.978,0.738,0.841,0.98,0.82,0.893,0.968,0.984,0.976
SEIR015_sl1000_mr05_nv10_14,0.943,0.717,0.815,0.862,0.543,0.667,0.9,0.783,0.837
SEIR015_sl1000_mr05_nv10_15,1,0.545,0.706,0.875,0.636,0.737,0.909,0.909,0.909
SEIR015_sl1000_mr05_nv10_16,1,0.659,0.794,0.972,0.854,0.909,0.975,0.951,0.963
SEIR015_sl1000_mr05_nv10_17,0.95,0.551,0.697,0.9,0.783,0.837,0.926,0.913,0.92
SEIR015_sl1000_mr05_nv10_18,0.957,0.537,0.688,0.917,0.805,0.857,0.857,0.878,0.867
SEIR015_sl1000_mr05_nv10_19,1,0.531,0.694,0.931,0.844,0.885,0.938,0.938,0.938
SEIR015_sl1000_mr05_nv10_2,0.941,0.762,0.842,0.879,0.69,0.773,0.905,0.905,0.905
SEIR015_sl1000_mr05_nv10_20,0.9,0.439,0.59,0.833,0.244,0.377,0.92,0.561,0.697
SEIR015_sl1000_mr05_nv10_3,1,0.696,0.821,0.857,0.857,0.857,0.857,0.857,0.857
SEIR015_sl1000_mr05_nv10_4,1,0.594,0.745,0.8,0.75,0.774,0.8,0.875,0.836
SEIR015_sl1000_mr05_nv10_5,1,0.636,0.778,0.8,0.727,0.762,0.818,0.818,0.818
SEIR015_sl1000_mr05_nv10_6,1,0.833,0.909,0.955,0.7,0.808,0.906,0.967,0.935
SEIR015_sl1000_mr05_nv10_7,1,0.231,0.375,0.615,0.615,0.615,0.692,0.692,0.692
SEIR015_sl1000_mr05_nv10_8,1,0.75,0.857,0.897,0.722,0.8,0.838,0.861,0.849
SEIR015_sl1000_mr05_nv10_9,1,0.6,0.75,0.923,0.8,0.857,0.75,0.8,0.774
SEIR015_sl250_mr025_nv10_1,0.667,0.118,0.2,0.923,0.706,0.8,0.824,0.824,0.824
SEIR015_sl250_mr025_nv10_10,0.818,0.153,0.257,0.724,0.356,0.477,0.833,0.254,0.39
SEIR015_sl250_mr025_nv10_11,0.8,0.235,0.364,0.654,0.5,0.567,0.613,0.559,0.585
SEIR015_sl250_mr025_nv10_12,1,0.14,0.245,0.667,0.558,0.608,0.725,0.674,0.699
SEIR015_sl250_mr025_nv10_13,1,0.5,0.667,0.818,0.562,0.667,0.846,0.688,0.759
SEIR015_sl250_mr025_nv10_14,1,0.08,0.148,0.481,0.52,0.5,0.636,0.56,0.596
SEIR015_sl250_mr025_nv10_15,0.812,0.265,0.4,0.61,0.51,0.556,0.644,0.592,0.617
SEIR015_sl250_mr025_nv10_16,0,0,0,0.529,0.333,0.409,0.727,0.593,0.653
SEIR015_sl250_mr025_nv10_17,0,0,0,0,0,0,0,0,0
SEIR015_sl250_mr025_nv10_18,0,0,0,0.429,0.273,0.333,0.667,0.545,0.6
SEIR015_sl250_mr025_nv10_19,0.9,0.243,0.383,0.619,0.351,0.448,0.65,0.351,0.456
SEIR015_sl250_mr025_nv10_2,0.5,0.045,0.083,0.375,0.136,0.2,0.5,0.273,0.353
SEIR015_sl250_mr025_nv10_20,0.909,0.303,0.455,0.688,0.667,0.677,0.73,0.818,0.771
SEIR015_sl250_mr025_nv10_3,0,0,0,0.182,0.133,0.154,0.222,0.133,0.167
SEIR015_sl250_mr025_nv10_4,0.7,0.28,0.4,0.769,0.8,0.784,0.833,0.8,0.816
SEIR015_sl250_mr025_nv10_5,1,0.125,0.222,0.625,0.625,0.625,0.667,0.75,0.706
SEIR015_sl250_mr025_nv10_6,0.923,0.343,0.5,0.593,0.457,0.516,0.657,0.657,0.657
SEIR015_sl250_mr025_nv10_7,1,0.25,0.4,0.667,0.25,0.364,1,0.25,0.4
SEIR015_sl250_mr025_nv10_8,0.938,0.556,0.698,0.864,0.704,0.776,0.818,0.667,0.735
SEIR015_sl250_mr025_nv10_9,0.8,0.267,0.4,0.833,0.667,0.741,0.929,0.867,0.897
SEIR015_sl500_mr025_nv10_1,1,0.6,0.75,0.6,0.6,0.6,0.727,0.8,0.762
SEIR015_sl500_mr025_nv10_10,0.971,0.767,0.857,0.875,0.814,0.843,0.949,0.86,0.902
SEIR015_sl500_mr025_nv10_11,0,0,0,0.8,0.5,0.615,0.714,0.625,0.667
SEIR015_sl500_mr025_nv10_12,1,0.623,0.767,0.821,0.604,0.696,0.854,0.774,0.812
SEIR015_sl500_mr025_nv10_13,1,0.429,0.6,0.75,0.643,0.692,0.774,0.857,0.814
SEIR015_sl500_mr025_nv10_14,1,0.556,0.714,0.889,0.889,0.889,0.8,0.889,0.842
SEIR015_sl500_mr025_nv10_15,0.913,0.724,0.808,0.881,0.638,0.74,0.897,0.897,0.897
SEIR015_sl500_mr025_nv10_16,1,0.417,0.588,0.909,0.833,0.87,0.909,0.833,0.87
SEIR015_sl500_mr025_nv10_17,1,0.5,0.667,0.846,0.786,0.815,0.846,0.786,0.815
SEIR015_sl500_mr025_nv10_18,0.824,0.538,0.651,0.684,0.5,0.578,0.75,0.692,0.72
SEIR015_sl500_mr025_nv10_19,1,0.4,0.571,0.909,1,0.952,0.909,1,0.952
SEIR015_sl500_mr025_nv10_2,0.833,0.625,0.714,0.667,0.75,0.706,0.625,0.625,0.625
SEIR015_sl500_mr025_nv10_20,0.971,0.531,0.687,0.886,0.609,0.722,0.911,0.797,0.85
SEIR015_sl500_mr025_nv10_3,0.9,0.486,0.632,0.895,0.459,0.607,0.935,0.784,0.853
SEIR015_sl500_mr025_nv10_4,0.917,0.268,0.415,0.806,0.61,0.694,0.824,0.683,0.747
SEIR015_sl500_mr025_nv10_5,0.9,0.643,0.75,0.923,0.857,0.889,0.867,0.929,0.897
SEIR015_sl500_mr025_nv10_6,0.625,0.263,0.37,0.526,0.526,0.526,0.579,0.579,0.579
SEIR015_sl500_mr025_nv10_7,0.935,0.468,0.624,0.867,0.629,0.729,0.906,0.774,0.835
SEIR015_sl500_mr025_nv10_8,0.963,0.388,0.553,0.88,0.657,0.752,0.925,0.731,0.817
SEIR015_sl500_mr025_nv10_9,1,0.182,0.308,0.667,0.727,0.696,0.636,0.636,0.636
SEIR01_sl1000_mr0125_nv10_1,1,0.667,0.8,0.857,0.667,0.75,0.812,0.722,0.765
SEIR01_sl1000_mr0125_nv10_10,0.923,0.889,0.906,0.918,0.833,0.874,0.926,0.926,0.926
SEIR01_sl1000_mr0125_nv10_11,1,0.846,0.917,0.929,1,0.963,0.857,0.923,0.889
SEIR01_sl1000_mr0125_nv10_12,1,0.2,0.333,1,0.2,0.333,1,0.2,0.333
SEIR01_sl1000_mr0125_nv10_13,1,0.8,0.889,1,1,1,1,1,1
SEIR01_sl1000_mr0125_nv10_14,0.962,0.833,0.893,0.964,0.9,0.931,0.964,0.9,0.931
SEIR01_sl1000_mr0125_nv10_15,1,0.875,0.933,0.952,0.833,0.889,0.958,0.958,0.958
SEIR01_sl1000_mr0125_nv10_16,1,0.571,0.727,0.857,0.857,0.857,0.857,0.857,0.857
SEIR01_sl1000_mr0125_nv10_17,0.857,0.5,0.632,0.833,0.833,0.833,0.833,0.833,0.833
SEIR01_sl1000_mr0125_nv10_18,0.949,0.822,0.881,0.927,0.844,0.884,0.891,0.911,0.901
SEIR01_sl1000_mr0125_nv10_19,0.957,0.733,0.83,0.926,0.833,0.877,0.929,0.867,0.897
SEIR01_sl1000_mr0125_nv10_2,1,0.808,0.894,1,0.962,0.98,1,1,1
SEIR01_sl1000_mr0125_nv10_20,0.95,0.76,0.844,0.885,0.92,0.902,0.92,0.92,0.92
SEIR01_sl1000_mr0125_nv10_3,1,0.868,0.93,0.921,0.921,0.921,0.902,0.974,0.937
SEIR01_sl1000_mr0125_nv10_4,0.9,0.75,0.818,0.9,0.75,0.818,0.826,0.792,0.809
SEIR01_sl1000_mr0125_nv10_5,0.95,0.809,0.874,0.953,0.872,0.911,0.911,0.872,0.891
SEIR01_sl1000_mr0125_nv10_6,0.911,0.854,0.882,0.951,0.812,0.876,0.917,0.917,0.917
SEIR01_sl1000_mr0125_nv10_7,1,0.897,0.946,0.973,0.923,0.947,0.949,0.949,0.949
SEIR01_sl1000_mr0125_nv10_8,0.8,0.667,0.727,0.714,0.833,0.769,0.714,0.833,0.769
SEIR01_sl1000_mr0125_nv10_9,0.977,0.915,0.945,0.977,0.894,0.933,0.938,0.957,0.947
SEIR01_sl1000_mr025_nv10_1,0.958,0.821,0.885,0.923,0.857,0.889,0.929,0.929,0.929
SEIR01_sl1000_mr025_nv10_10,0.875,0.778,0.824,0.778,0.778,0.778,0.778,0.778,0.778
SEIR01_sl1000_mr025_nv10_11,1,0.829,0.906,0.914,0.914,0.914,0.889,0.914,0.901
SEIR01_sl1000_mr025_nv10_12,0.714,0.625,0.667,0.75,0.75,0.75,0.75,0.75,0.75
SEIR01_sl1000_mr025_nv10_13,0.944,0.85,0.895,0.824,0.7,0.757,0.857,0.9,0.878
SEIR01_sl1000_mr025_nv10_14,0.906,0.853,0.879,0.882,0.882,0.882,0.882,0.882,0.882
SEIR01_sl1000_mr025_nv10_15,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
SEIR01_sl1000_mr025_nv10_16,0.947,0.857,0.9,0.947,0.857,0.9,0.907,0.929,0.918
SEIR01_sl1000_mr025_nv10_17,0.829,0.756,0.791,0.861,0.689,0.765,0.818,0.8,0.809
SEIR01_sl1000_mr025_nv10_18,0.875,0.778,0.824,0.8,0.889,0.842,0.8,0.889,0.842
SEIR01_sl1000_mr025_nv10_19,0.9,0.763,0.826,0.87,0.797,0.832,0.847,0.847,0.847
SEIR01_sl1000_mr025_nv10_2,0.947,0.818,0.878,0.875,0.955,0.913,0.909,0.909,0.909
SEIR01_sl1000_mr025_nv10_20,0.933,0.824,0.875,0.824,0.824,0.824,0.833,0.882,0.857
SEIR01_sl1000_mr025_nv10_3,0.884,0.776,0.826,0.896,0.878,0.887,0.898,0.898,0.898
SEIR01_sl1000_mr025_nv10_4,0.977,0.827,0.896,0.957,0.846,0.898,0.962,0.962,0.962
SEIR01_sl1000_mr025_nv10_5,0.952,0.909,0.93,0.95,0.864,0.905,0.953,0.932,0.943
SEIR01_sl1000_mr025_nv10_6,0.833,0.714,0.769,0.857,0.857,0.857,0.857,0.857,0.857
SEIR01_sl1000_mr025_nv10_7,0.812,0.65,0.722,0.861,0.775,0.816,0.838,0.775,0.805
SEIR01_sl1000_mr025_nv10_8,0.818,0.667,0.735,0.88,0.815,0.846,0.815,0.815,0.815
SEIR01_sl1000_mr025_nv10_9,0.911,0.872,0.891,0.907,0.83,0.867,0.894,0.894,0.894
SEIR01_sl1000_mr025_nv20_1,0.897,0.812,0.852,0.818,0.844,0.831,0.8,0.875,0.836
SEIR01_sl1000_mr025_nv20_10,0.8,0.444,0.571,0.857,0.667,0.75,0.667,0.667,0.667
SEIR01_sl1000_mr025_nv20_11,0.667,0.4,0.5,0.8,0.8,0.8,0.8,0.8,0.8
SEIR01_sl1000_mr025_nv20_12,1,0.722,0.839,0.944,0.944,0.944,0.85,0.944,0.895
SEIR01_sl1000_mr025_nv20_13,0.88,0.759,0.815,0.907,0.845,0.875,0.864,0.879,0.872
SEIR01_sl1000_mr025_nv20_14,0.889,0.615,0.727,0.846,0.846,0.846,0.923,0.923,0.923
SEIR01_sl1000_mr025_nv20_15,0.952,0.87,0.909,0.913,0.913,0.913,0.913,0.913,0.913
SEIR01_sl1000_mr025_nv20_16,1,0.286,0.444,0.545,0.857,0.667,0.667,0.857,0.75
SEIR01_sl1000_mr025_nv20_17,0.952,0.8,0.87,0.875,0.84,0.857,0.88,0.88,0.88
SEIR01_sl1000_mr025_nv20_18,0.957,0.846,0.898,0.885,0.885,0.885,0.885,0.885,0.885
SEIR01_sl1000_mr025_nv20_19,0.941,0.906,0.923,0.943,0.943,0.943,0.943,0.943,0.943
SEIR01_sl1000_mr025_nv20_2,0.972,0.833,0.897,0.907,0.929,0.918,0.907,0.929,0.918
SEIR01_sl1000_mr025_nv20_20,0.957,0.71,0.815,0.821,0.742,0.78,0.871,0.871,0.871
SEIR01_sl1000_mr025_nv20_3,0.875,0.667,0.757,0.864,0.905,0.884,0.909,0.952,0.93
SEIR01_sl1000_mr025_nv20_4,0.857,0.75,0.8,0.75,0.75,0.75,0.75,0.75,0.75
SEIR01_sl1000_mr025_nv20_5,1,0.758,0.862,0.875,0.848,0.862,0.824,0.848,0.836
SEIR01_sl1000_mr025_nv20_6,1,0.909,0.952,0.917,1,0.957,0.917,1,0.957
SEIR01_sl1000_mr025_nv20_7,0.933,0.824,0.875,0.882,0.882,0.882,0.882,0.882,0.882
SEIR01_sl1000_mr025_nv20_8,0.75,0.6,0.667,0.6,0.6,0.6,0.6,0.6,0.6
SEIR01_sl1000_mr025_nv20_9,1,0.833,0.909,1,1,1,0.923,1,0.96
SEIR01_sl1000_mr025_nv5_1,0.857,0.732,0.789,0.906,0.707,0.795,0.805,0.805,0.805
SEIR01_sl1000_mr025_nv5_10,1,0.455,0.625,1,0.606,0.755,0.962,0.758,0.847
SEIR01_sl1000_mr025_nv5_11,0.917,0.579,0.71,0.938,0.789,0.857,0.938,0.789,0.857
SEIR01_sl1000_mr025_nv5_12,0.909,0.526,0.667,0.824,0.737,0.778,0.882,0.789,0.833
SEIR01_sl1000_mr025_nv5_13,1,0.667,0.8,0.917,0.917,0.917,0.917,0.917,0.917
SEIR01_sl1000_mr025_nv5_14,1,0.6,0.75,1,0.9,0.947,1,0.9,0.947
SEIR01_sl1000_mr025_nv5_15,0.8,0.741,0.769,0.731,0.704,0.717,0.75,0.778,0.764
SEIR01_sl1000_mr025_nv5_16,1,0.667,0.8,1,0.778,0.875,1,0.944,0.971
SEIR01_sl1000_mr025_nv5_17,0.889,0.727,0.8,0.909,0.909,0.909,0.909,0.909,0.909
SEIR01_sl1000_mr025_nv5_18,0.897,0.553,0.684,0.946,0.745,0.833,0.913,0.894,0.903
SEIR01_sl1000_mr025_nv5_19,0.965,0.948,0.957,0.965,0.948,0.957,0.966,0.966,0.966
SEIR01_sl1000_mr025_nv5_2,0.9,0.562,0.692,0.867,0.812,0.839,0.812,0.812,0.812
SEIR01_sl1000_mr025_nv5_20,0.941,0.667,0.78,0.889,0.667,0.762,0.889,0.667,0.762
SEIR01_sl1000_mr025_nv5_3,0.875,0.7,0.778,0.889,0.8,0.842,0.8,0.8,0.8
SEIR01_sl1000_mr025_nv5_4,0.8,0.72,0.758,0.925,0.74,0.822,0.776,0.76,0.768
SEIR01_sl1000_mr025_nv5_5,0.783,0.706,0.742,0.879,0.569,0.69,0.755,0.784,0.769
SEIR01_sl1000_mr025_nv5_6,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75
SEIR01_sl1000_mr025_nv5_7,1,0.7,0.824,1,1,1,1,1,1
SEIR01_sl1000_mr025_nv5_8,0.9,0.783,0.837,0.87,0.87,0.87,0.87,0.87,0.87
SEIR01_sl1000_mr025_nv5_9,0.833,0.556,0.667,0.875,0.778,0.824,0.875,0.778,0.824
SEIR01_sl1000_mr05_nv10_1,0.909,0.769,0.833,0.909,0.769,0.833,0.923,0.923,0.923
SEIR01_sl1000_mr05_nv10_10,1,0.857,0.923,0.857,0.857,0.857,0.857,0.857,0.857
SEIR01_sl1000_mr05_nv10_11,0.92,0.719,0.807,0.871,0.844,0.857,0.875,0.875,0.875
SEIR01_sl1000_mr05_nv10_12,0.938,0.776,0.849,0.923,0.828,0.873,0.911,0.879,0.895
SEIR01_sl1000_mr05_nv10_13,0.857,0.75,0.8,0.875,0.875,0.875,0.875,0.875,0.875
SEIR01_sl1000_mr05_nv10_14,0.969,0.795,0.873,0.929,0.667,0.776,0.943,0.846,0.892
SEIR01_sl1000_mr05_nv10_15,0.857,0.75,0.8,0.875,0.875,0.875,0.875,0.875,0.875
SEIR01_sl1000_mr05_nv10_16,0.952,0.909,0.93,0.955,0.955,0.955,0.955,0.955,0.955
SEIR01_sl1000_mr05_nv10_17,0.955,0.955,0.955,0.952,0.909,0.93,0.909,0.909,0.909
SEIR01_sl1000_mr05_nv10_18,0.957,0.786,0.863,0.889,0.857,0.873,0.912,0.929,0.92
SEIR01_sl1000_mr05_nv10_19,0.667,0.286,0.4,0.833,0.714,0.769,0.833,0.714,0.769
SEIR01_sl1000_mr05_nv10_2,1,0.875,0.933,0.889,1,0.941,0.889,1,0.941
SEIR01_sl1000_mr05_nv10_20,0.977,0.808,0.884,0.978,0.865,0.918,0.906,0.923,0.914
SEIR01_sl1000_mr05_nv10_3,0.944,0.68,0.791,0.875,0.84,0.857,0.885,0.92,0.902
SEIR01_sl1000_mr05_nv10_4,1,0.545,0.706,0.818,0.818,0.818,0.692,0.818,0.75
SEIR01_sl1000_mr05_nv10_5,0.938,0.833,0.882,0.889,0.889,0.889,0.889,0.889,0.889
SEIR01_sl1000_mr05_nv10_6,0.912,0.775,0.838,0.879,0.725,0.795,0.892,0.825,0.857
SEIR01_sl1000_mr05_nv10_7,0.921,0.761,0.833,0.902,0.804,0.851,0.86,0.804,0.831
SEIR01_sl1000_mr05_nv10_8,1,0.875,0.933,0.875,0.875,0.875,0.875,0.875,0.875
SEIR01_sl1000_mr05_nv10_9,1,0.885,0.939,0.96,0.923,0.941,0.962,0.962,0.962
SEIR01_sl250_mr025_nv10_1,0.882,0.333,0.484,0.763,0.644,0.699,0.763,0.644,0.699
SEIR01_sl250_mr025_nv10_10,1,0.353,0.522,0.714,0.882,0.789,0.737,0.824,0.778
SEIR01_sl250_mr025_nv10_11,0.667,0.25,0.364,0.667,0.625,0.645,0.625,0.625,0.625
SEIR01_sl250_mr025_nv10_12,0.952,0.465,0.625,0.75,0.837,0.791,0.822,0.86,0.841
SEIR01_sl250_mr025_nv10_13,0,0,0,0.333,0.333,0.333,0.4,0.333,0.364
SEIR01_sl250_mr025_nv10_14,0.875,0.457,0.6,0.714,0.543,0.617,0.721,0.674,0.697
SEIR01_sl250_mr025_nv10_15,0,0,0,0.667,0.857,0.75,0.625,0.714,0.667
SEIR01_sl250_mr025_nv10_16,0.867,0.283,0.426,0.629,0.478,0.543,0.59,0.5,0.541
SEIR01_sl250_mr025_nv10_17,1,0.125,0.222,0.5,0.625,0.556,0.5,0.625,0.556
