,Branch length stretch,area,date,location,numdate
EPI_ISL_402120,2.0,Hubei,2020-01-01,China,2020.0027135612524
EPI_ISL_402121,2.0,Hubei,2019-12-30,China,2019.9965529258448
EPI_ISL_402125,2.0,,2019-12-31,China,2019.9992909860259
EPI_ISL_402131,0.007949048189709939,Yunnan,2013-07-24,China,2013.5607424699849
EPI_ISL_402132,2.0,Hubei,2019-12-30,China,2019.9965529258448
EPI_ISL_403929,2.0,Hubei,2019-12-30,China,2019.9965529258448
EPI_ISL_403932,2.0,Guandong,2020-01-14,China,2020.0383083436079
EPI_ISL_404227,2.0,Zhejiang,2020-01-16,China,2020.04378446397
EPI_ISL_404228,2.0,Zhejiang,2020-01-17,China,2020.0465225241514
EPI_ISL_406031,2.0,Kaohsiung,2020-01-23,Taiwan,2020.0629508852385
EPI_ISL_406538,2.0,Guangdong,2020-01-23,China,2020.0629508852385
EPI_ISL_406593,2.0,Guandong,2020-01-13,China,2020.0355702834268
EPI_ISL_406594,0.45886854532501964,Guandong,2020-01-16,China,2020.04378446397
EPI_ISL_406716,2.0,Hubei,2020-01-02,China,2020.0054516214338
EPI_ISL_406862,2.0,Bavaria,2020-01-28,Germany,2020.0766411861443
EPI_ISL_406973,2.0,,2020-01-23,Singapore,2020.0629508852385
EPI_ISL_407079,2.0,Lapland,2020-01-29,Finland,2020.0793792463255
EPI_ISL_407193,9.9999999600415675e-07,Gyeonggi-do,2020-01-25,South Korea,2020.0684270057757
EPI_ISL_407976,2.0,Leuven,2020-02-03,Belgium,2020.0930695472314
EPI_ISL_407987,9.9999999600415675e-07,,2020-01-25,Singapore,2020.0684270057757
EPI_ISL_407988,2.0,,2020-02-01,Singapore,2020.087593426869
EPI_ISL_408430,9.9999999600415675e-07,Ile-de-France,2020-01-29,France,2020.0793792465004
EPI_ISL_408479,2.0,Chongqing,2020-01-23,China,2020.0629508852385
EPI_ISL_408480,9.9999999600415675e-07,Yunnan,2020-01-17,China,2020.0465225243261
EPI_ISL_408486,2.0,Jiangxi,2020-01-11,China,2020.0300941630642
EPI_ISL_408489,2.0,Taipei,2020-01-31,Taiwan,2020.0848553666879
EPI_ISL_408514,0.39411064842349786,Hubei,2020-01-01,China,2020.0027135612524
EPI_ISL_408515,0.11656793826610445,Hubei,2020-01-01,China,2020.0027135612524
EPI_ISL_408665,9.9999999600415675e-07,Tokyo,2020-01-29,Japan,2020.0793792465004
EPI_ISL_408666,2.0,Tokyo,2020-01-31,Japan,2020.0848553666879
EPI_ISL_408667,1.6636647876597954,Tokyo,2020-01-31,Japan,2020.0848553666879
EPI_ISL_408669,2.0,Kyoto,2020-01-29,Japan,2020.0793792463255
EPI_ISL_410218,2.0,Taipei,2020-02-05,Taiwan,2020.0985456675937
EPI_ISL_410531,2.0,Nara,2020-01-25,Japan,2020.0684270056008
EPI_ISL_410532,2.0,Osaka,2020-01-23,Japan,2020.0629508852385
EPI_ISL_410535,2.0,,2020-02-03,Singapore,2020.0930695472314
EPI_ISL_410536,2.0,,2020-02-06,Singapore,2020.1012837277749
EPI_ISL_410537,2.0,,2020-02-09,Singapore,2020.1094979083184
EPI_ISL_410713,2.0,,2020-01-27,Singapore,2020.0739031259632
EPI_ISL_410714,2.0,,2020-02-03,Singapore,2020.0930695472314
EPI_ISL_410715,9.9999999600415675e-07,,2020-02-04,Singapore,2020.0958076075872
EPI_ISL_410716,9.9999999600415675e-07,,2020-02-04,Singapore,2020.0958076075872
EPI_ISL_410719,2.0,,2020-02-02,Singapore,2020.0903314870502
EPI_ISL_410720,2.0,Ile-de-France,2020-01-23,France,2020.0629508852385
EPI_ISL_410721,0.28602842552382518,Guangdong,2019-01-01,China,2019.002637080077
EPI_ISL_410984,9.9999999600415675e-07,Ile-de-France,2020-01-29,France,2020.0793792465004
EPI_ISL_411915,2.0,Taoyuan,2020-01-25,Taiwan,2020.0684270056008
EPI_ISL_411926,2.0,Taipei,2020-01-24,Taiwan,2020.0656889454194
EPI_ISL_411927,2.0,Taipei,2020-01-28,Taiwan,2020.0766411861443
EPI_ISL_411929,0.10359159115183222,,2020-01-01,South Korea,2020.0027135612524
EPI_ISL_411952,0.79659187650869989,Jiangsu,2020-01-24,China,2020.0656889454194
EPI_ISL_411953,2.0,Jiangsu,2020-01-24,China,2020.0656889454194
EPI_ISL_411956,2.0,Texas,2020-02-11,USA,2020.1149740286808
EPI_ISL_411957,0.047708518621055789,,2020-01-08,China,2020.0218799825207
EPI_ISL_412028,2.0,,2020-01-22,Hong Kong,2020.0602128250573
EPI_ISL_412029,9.9999999600415675e-07,,2020-01-30,Hong Kong,2020.0821173066813
EPI_ISL_412030,1.5164648083405705,,2020-02-01,Hong Kong,2020.087593426869
EPI_ISL_412869,0.39650937422041405,Seoul,2020-01-30,South Korea,2020.0821173065067
EPI_ISL_412870,2.0,Seoul,2020-01-30,South Korea,2020.0821173065067
EPI_ISL_412871,1.3242368748706232,Seoul,2020-01-31,South Korea,2020.0848553666879
EPI_ISL_412872,2.0,Gyeonggi-do,2020-02-01,South Korea,2020.087593426869
EPI_ISL_412873,2.0,Chungcheongnam-do,2020-02-06,South Korea,2020.1012837277749
EPI_ISL_412912,9.9999999600420609e-07,Baden-Wuerttemberg,2020-02-25,Germany,2020.153306871392
EPI_ISL_412968,0.3541273752032576,,2020-02-10,Japan,2020.1122359684996
EPI_ISL_412969,9.9999999600415675e-07,,2020-02-10,Japan,2020.1122359686744
EPI_ISL_412972,2.0,Mexico City,2020-02-27,Mexico,2020.1587829915798
EPI_ISL_412973,2.0,Lombardy,2020-02-20,Italy,2020.1396165703115
EPI_ISL_412974,9.9999999600415675e-07,Rome,2020-01-29,Italy,2020.0793792465004
EPI_ISL_412979,2.0,Hubei,2020-01-18,China,2020.0492605843326
EPI_ISL_412980,1.5992071674140464,Hubei,2020-01-18,China,2020.0492605843326
EPI_ISL_412983,2.0,Hubei,2020-02-08,China,2020.1067598481375
