dataset,precision,recall,f1
SEIR015_sl1000_mr0125_nv10_1,0.905,0.918,0.912
SEIR015_sl1000_mr0125_nv10_10,0.947,0.947,0.947
SEIR015_sl1000_mr0125_nv10_11,0.692,0.692,0.692
SEIR015_sl1000_mr0125_nv10_12,0.786,0.786,0.786
SEIR015_sl1000_mr0125_nv10_13,0.96,0.96,0.96
SEIR015_sl1000_mr0125_nv10_14,0.857,0.923,0.889
SEIR015_sl1000_mr0125_nv10_15,0.784,0.644,0.707
SEIR015_sl1000_mr0125_nv10_16,0.725,0.794,0.758
SEIR015_sl1000_mr0125_nv10_17,0.7,0.808,0.75
SEIR015_sl1000_mr0125_nv10_18,0.7,0.7,0.7
SEIR015_sl1000_mr0125_nv10_19,0.643,0.581,0.61
SEIR015_sl1000_mr0125_nv10_2,0.75,0.75,0.75
SEIR015_sl1000_mr0125_nv10_20,0.833,0.854,0.843
SEIR015_sl1000_mr0125_nv10_3,0.8,0.889,0.842
SEIR015_sl1000_mr0125_nv10_4,0.8,0.8,0.8
SEIR015_sl1000_mr0125_nv10_5,0.778,0.549,0.644
SEIR015_sl1000_mr0125_nv10_6,0.795,0.886,0.838
SEIR015_sl1000_mr0125_nv10_7,0.808,0.868,0.837
SEIR015_sl1000_mr0125_nv10_8,0.684,0.722,0.703
SEIR015_sl1000_mr0125_nv10_9,0.409,0.429,0.419
SEIR015_sl1000_mr025_nv10_1,0.9,0.9,0.9
SEIR015_sl1000_mr025_nv10_10,0.909,0.909,0.909
SEIR015_sl1000_mr025_nv10_11,0.909,0.893,0.901
SEIR015_sl1000_mr025_nv10_12,0.692,0.9,0.783
SEIR015_sl1000_mr025_nv10_13,0.286,0.4,0.333
SEIR015_sl1000_mr025_nv10_14,0.667,0.8,0.727
SEIR015_sl1000_mr025_nv10_15,0.6,0.672,0.634
SEIR015_sl1000_mr025_nv10_16,0.812,0.929,0.867
SEIR015_sl1000_mr025_nv10_17,0.811,0.789,0.8
SEIR015_sl1000_mr025_nv10_18,0.667,0.703,0.684
SEIR015_sl1000_mr025_nv10_19,0.85,0.895,0.872
SEIR015_sl1000_mr025_nv10_2,0.797,0.839,0.817
SEIR015_sl1000_mr025_nv10_20,0.6,0.75,0.667
SEIR015_sl1000_mr025_nv10_3,0.915,0.935,0.925
SEIR015_sl1000_mr025_nv10_4,0.8,0.818,0.809
SEIR015_sl1000_mr025_nv10_5,0.796,0.812,0.804
SEIR015_sl1000_mr025_nv10_6,0.848,0.848,0.848
SEIR015_sl1000_mr025_nv10_7,0.778,0.778,0.778
SEIR015_sl1000_mr025_nv10_8,1,1,1
SEIR015_sl1000_mr025_nv10_9,0.877,0.893,0.885
SEIR015_sl1000_mr025_nv20_1,0.625,0.667,0.645
SEIR015_sl1000_mr025_nv20_10,0.583,0.778,0.667
SEIR015_sl1000_mr025_nv20_11,0.857,0.923,0.889
SEIR015_sl1000_mr025_nv20_12,0.52,0.65,0.578
SEIR015_sl1000_mr025_nv20_13,0.692,1,0.818
SEIR015_sl1000_mr025_nv20_14,0.909,0.909,0.909
SEIR015_sl1000_mr025_nv20_15,0.606,0.833,0.702
SEIR015_sl1000_mr025_nv20_16,0.871,0.9,0.885
SEIR015_sl1000_mr025_nv20_17,0.842,0.857,0.85
SEIR015_sl1000_mr025_nv20_18,0.609,0.718,0.659
SEIR015_sl1000_mr025_nv20_19,0.429,0.545,0.48
SEIR015_sl1000_mr025_nv20_2,0.815,0.88,0.846
SEIR015_sl1000_mr025_nv20_20,0.667,0.632,0.649
SEIR015_sl1000_mr025_nv20_3,0.696,0.727,0.711
SEIR015_sl1000_mr025_nv20_4,0.879,0.879,0.879
SEIR015_sl1000_mr025_nv20_5,0.949,0.949,0.949
SEIR015_sl1000_mr025_nv20_6,0.791,0.895,0.84
SEIR015_sl1000_mr025_nv20_7,0.882,0.833,0.857
SEIR015_sl1000_mr025_nv20_8,0.646,0.761,0.699
SEIR015_sl1000_mr025_nv20_9,0.737,0.778,0.757
SEIR015_sl1000_mr025_nv5_1,0.818,0.643,0.72
SEIR015_sl1000_mr025_nv5_10,0.676,0.639,0.657
SEIR015_sl1000_mr025_nv5_11,0.729,0.745,0.737
SEIR015_sl1000_mr025_nv5_12,0.5,0.364,0.421
SEIR015_sl1000_mr025_nv5_13,0.926,0.806,0.862
SEIR015_sl1000_mr025_nv5_14,0.667,0.8,0.727
SEIR015_sl1000_mr025_nv5_15,0.652,0.662,0.656
SEIR015_sl1000_mr025_nv5_16,0.864,0.731,0.792
SEIR015_sl1000_mr025_nv5_17,0.857,0.878,0.867
SEIR015_sl1000_mr025_nv5_18,0.623,0.6,0.611
SEIR015_sl1000_mr025_nv5_19,0.312,0.455,0.37
SEIR015_sl1000_mr025_nv5_2,1,0.667,0.8
SEIR015_sl1000_mr025_nv5_20,0.692,0.659,0.675
SEIR015_sl1000_mr025_nv5_3,0.56,0.519,0.538
SEIR015_sl1000_mr025_nv5_4,0.723,0.68,0.701
SEIR015_sl1000_mr025_nv5_5,0.706,0.571,0.632
SEIR015_sl1000_mr025_nv5_6,0.373,0.403,0.388
SEIR015_sl1000_mr025_nv5_7,0.846,0.846,0.846
SEIR015_sl1000_mr025_nv5_8,0.818,0.783,0.8
SEIR015_sl1000_mr025_nv5_9,0.558,0.6,0.578
SEIR015_sl1000_mr05_nv10_1,0.706,0.706,0.706
SEIR015_sl1000_mr05_nv10_10,0.8,0.889,0.842
SEIR015_sl1000_mr05_nv10_11,0.333,0.375,0.353
SEIR015_sl1000_mr05_nv10_12,0.727,1,0.842
SEIR015_sl1000_mr05_nv10_13,0.934,0.934,0.934
SEIR015_sl1000_mr05_nv10_14,0.773,0.739,0.756
SEIR015_sl1000_mr05_nv10_15,0.75,0.818,0.783
SEIR015_sl1000_mr05_nv10_16,0.826,0.927,0.874
SEIR015_sl1000_mr05_nv10_17,0.769,0.87,0.816
SEIR015_sl1000_mr05_nv10_18,0.711,0.78,0.744
SEIR015_sl1000_mr05_nv10_19,0.784,0.906,0.841
SEIR015_sl1000_mr05_nv10_2,0.857,0.857,0.857
SEIR015_sl1000_mr05_nv10_20,0.419,0.439,0.429
SEIR015_sl1000_mr05_nv10_3,0.828,0.857,0.842
SEIR015_sl1000_mr05_nv10_4,0.486,0.562,0.522
SEIR015_sl1000_mr05_nv10_5,0.818,0.818,0.818
SEIR015_sl1000_mr05_nv10_6,0.926,0.833,0.877
SEIR015_sl1000_mr05_nv10_7,0.474,0.692,0.562
SEIR015_sl1000_mr05_nv10_8,0.775,0.861,0.816
SEIR015_sl1000_mr05_nv10_9,0.562,0.6,0.581
SEIR015_sl250_mr025_nv10_1,0.538,0.824,0.651
SEIR015_sl250_mr025_nv10_10,0.474,0.627,0.54
SEIR015_sl250_mr025_nv10_11,0.477,0.618,0.538
SEIR015_sl250_mr025_nv10_12,0.516,0.767,0.617
SEIR015_sl250_mr025_nv10_13,0.647,0.688,0.667
SEIR015_sl250_mr025_nv10_14,0.381,0.64,0.478
SEIR015_sl250_mr025_nv10_15,0.585,0.633,0.608
SEIR015_sl250_mr025_nv10_16,0.208,0.407,0.275
SEIR015_sl250_mr025_nv10_17,0.429,0.5,0.462
SEIR015_sl250_mr025_nv10_18,0.294,0.455,0.357
SEIR015_sl250_mr025_nv10_19,0.61,0.676,0.641
SEIR015_sl250_mr025_nv10_2,0.296,0.364,0.327
SEIR015_sl250_mr025_nv10_20,0.533,0.727,0.615
SEIR015_sl250_mr025_nv10_3,0.545,0.8,0.649
SEIR015_sl250_mr025_nv10_4,0.643,0.72,0.679
SEIR015_sl250_mr025_nv10_5,0.75,0.75,0.75
SEIR015_sl250_mr025_nv10_6,0.525,0.6,0.56
SEIR015_sl250_mr025_nv10_7,0.333,0.375,0.353
SEIR015_sl250_mr025_nv10_8,0.778,0.778,0.778
SEIR015_sl250_mr025_nv10_9,0.737,0.933,0.824
SEIR015_sl500_mr025_nv10_1,0.727,0.8,0.762
SEIR015_sl500_mr025_nv10_10,0.911,0.953,0.932
SEIR015_sl500_mr025_nv10_11,0.182,0.25,0.211
SEIR015_sl500_mr025_nv10_12,0.672,0.736,0.703
SEIR015_sl500_mr025_nv10_13,0.472,0.607,0.531
SEIR015_sl500_mr025_nv10_14,0.8,0.889,0.842
SEIR015_sl500_mr025_nv10_15,0.81,0.81,0.81
SEIR015_sl500_mr025_nv10_16,0.714,0.833,0.769
SEIR015_sl500_mr025_nv10_17,0.632,0.857,0.727
SEIR015_sl500_mr025_nv10_18,0.704,0.731,0.717
SEIR015_sl500_mr025_nv10_19,0.9,0.9,0.9
SEIR015_sl500_mr025_nv10_2,0.625,0.625,0.625
SEIR015_sl500_mr025_nv10_20,0.714,0.781,0.746
SEIR015_sl500_mr025_nv10_3,0.683,0.757,0.718
SEIR015_sl500_mr025_nv10_4,0.583,0.683,0.629
SEIR015_sl500_mr025_nv10_5,0.933,1,0.966
SEIR015_sl500_mr025_nv10_6,0.75,0.789,0.769
SEIR015_sl500_mr025_nv10_7,0.508,0.532,0.52
SEIR015_sl500_mr025_nv10_8,0.653,0.731,0.69
SEIR015_sl500_mr025_nv10_9,0.615,0.727,0.667
SEIR01_sl1000_mr0125_nv10_1,0.789,0.833,0.811
SEIR01_sl1000_mr0125_nv10_10,0.833,0.833,0.833
SEIR01_sl1000_mr0125_nv10_11,0.923,0.923,0.923
SEIR01_sl1000_mr0125_nv10_12,0.2,0.2,0.2
SEIR01_sl1000_mr0125_nv10_13,0.818,0.9,0.857
SEIR01_sl1000_mr0125_nv10_14,0.903,0.933,0.918
SEIR01_sl1000_mr0125_nv10_15,0.833,0.833,0.833
SEIR01_sl1000_mr0125_nv10_16,0.714,0.714,0.714
SEIR01_sl1000_mr0125_nv10_17,0.833,0.833,0.833
SEIR01_sl1000_mr0125_nv10_18,0.872,0.911,0.891
SEIR01_sl1000_mr0125_nv10_19,0.867,0.867,0.867
SEIR01_sl1000_mr0125_nv10_2,0.923,0.923,0.923
SEIR01_sl1000_mr0125_nv10_20,0.96,0.96,0.96
SEIR01_sl1000_mr0125_nv10_3,0.895,0.895,0.895
SEIR01_sl1000_mr0125_nv10_4,0.833,0.833,0.833
SEIR01_sl1000_mr0125_nv10_5,0.875,0.894,0.884
SEIR01_sl1000_mr0125_nv10_6,0.87,0.833,0.851
SEIR01_sl1000_mr0125_nv10_7,0.895,0.872,0.883
SEIR01_sl1000_mr0125_nv10_8,0.667,0.667,0.667
SEIR01_sl1000_mr0125_nv10_9,0.958,0.979,0.968
SEIR01_sl1000_mr025_nv10_1,0.893,0.893,0.893
SEIR01_sl1000_mr025_nv10_10,0.778,0.778,0.778
SEIR01_sl1000_mr025_nv10_11,0.889,0.914,0.901
SEIR01_sl1000_mr025_nv10_12,0.75,0.75,0.75
SEIR01_sl1000_mr025_nv10_13,0.773,0.85,0.81
SEIR01_sl1000_mr025_nv10_14,0.857,0.882,0.87
SEIR01_sl1000_mr025_nv10_15,0.8,0.8,0.8
SEIR01_sl1000_mr025_nv10_16,0.925,0.881,0.902
SEIR01_sl1000_mr025_nv10_17,0.698,0.667,0.682
SEIR01_sl1000_mr025_nv10_18,0.778,0.778,0.778
