dataset,precision,recall,f1
SEIR015_sl1000_mr0125_nv10_1,0.882,0.918,0.899
SEIR015_sl1000_mr0125_nv10_10,0.947,0.947,0.947
SEIR015_sl1000_mr0125_nv10_11,0.692,0.692,0.692
SEIR015_sl1000_mr0125_nv10_12,0.714,0.714,0.714
SEIR015_sl1000_mr0125_nv10_13,0.88,0.88,0.88
SEIR015_sl1000_mr0125_nv10_14,0.825,0.904,0.862
SEIR015_sl1000_mr0125_nv10_15,0.689,0.689,0.689
SEIR015_sl1000_mr0125_nv10_16,0.739,0.81,0.773
SEIR015_sl1000_mr0125_nv10_17,0.656,0.808,0.724
SEIR015_sl1000_mr0125_nv10_18,0.7,0.7,0.7
SEIR015_sl1000_mr0125_nv10_19,0.548,0.548,0.548
SEIR015_sl1000_mr0125_nv10_2,0.75,0.75,0.75
SEIR015_sl1000_mr0125_nv10_20,0.833,0.854,0.843
SEIR015_sl1000_mr0125_nv10_3,0.636,0.778,0.7
SEIR015_sl1000_mr0125_nv10_4,0.8,0.8,0.8
SEIR015_sl1000_mr0125_nv10_5,0.686,0.686,0.686
SEIR015_sl1000_mr0125_nv10_6,0.757,0.8,0.778
SEIR015_sl1000_mr0125_nv10_7,0.75,0.838,0.792
SEIR015_sl1000_mr0125_nv10_8,0.632,0.667,0.649
SEIR015_sl1000_mr0125_nv10_9,0.4,0.476,0.435
SEIR015_sl1000_mr025_nv10_1,0.9,0.9,0.9
SEIR015_sl1000_mr025_nv10_10,0.909,0.909,0.909
SEIR015_sl1000_mr025_nv10_11,0.833,0.893,0.862
SEIR015_sl1000_mr025_nv10_12,0.692,0.9,0.783
SEIR015_sl1000_mr025_nv10_13,0.308,0.4,0.348
SEIR015_sl1000_mr025_nv10_14,0.724,0.84,0.778
SEIR015_sl1000_mr025_nv10_15,0.493,0.603,0.543
SEIR015_sl1000_mr025_nv10_16,0.812,0.929,0.867
SEIR015_sl1000_mr025_nv10_17,0.846,0.868,0.857
SEIR015_sl1000_mr025_nv10_18,0.605,0.703,0.65
SEIR015_sl1000_mr025_nv10_19,0.85,0.895,0.872
SEIR015_sl1000_mr025_nv10_2,0.746,0.786,0.765
SEIR015_sl1000_mr025_nv10_20,0.6,0.75,0.667
SEIR015_sl1000_mr025_nv10_3,0.938,0.978,0.957
SEIR015_sl1000_mr025_nv10_4,0.787,0.841,0.813
SEIR015_sl1000_mr025_nv10_5,0.857,0.875,0.866
SEIR015_sl1000_mr025_nv10_6,0.783,0.783,0.783
SEIR015_sl1000_mr025_nv10_7,0.778,0.778,0.778
SEIR015_sl1000_mr025_nv10_8,0.95,0.95,0.95
SEIR015_sl1000_mr025_nv10_9,0.862,0.893,0.877
SEIR015_sl1000_mr025_nv20_1,0.647,0.733,0.688
SEIR015_sl1000_mr025_nv20_10,0.583,0.778,0.667
SEIR015_sl1000_mr025_nv20_11,0.857,0.923,0.889
SEIR015_sl1000_mr025_nv20_12,0.5,0.65,0.565
SEIR015_sl1000_mr025_nv20_13,0.583,0.778,0.667
SEIR015_sl1000_mr025_nv20_14,0.818,0.818,0.818
SEIR015_sl1000_mr025_nv20_15,0.588,0.833,0.69
SEIR015_sl1000_mr025_nv20_16,0.871,0.9,0.885
SEIR015_sl1000_mr025_nv20_17,0.831,0.875,0.852
SEIR015_sl1000_mr025_nv20_18,0.6,0.769,0.674
SEIR015_sl1000_mr025_nv20_19,0.429,0.545,0.48
SEIR015_sl1000_mr025_nv20_2,0.815,0.88,0.846
SEIR015_sl1000_mr025_nv20_20,0.632,0.632,0.632
SEIR015_sl1000_mr025_nv20_3,0.603,0.712,0.653
SEIR015_sl1000_mr025_nv20_4,0.882,0.909,0.896
SEIR015_sl1000_mr025_nv20_5,0.949,0.949,0.949
SEIR015_sl1000_mr025_nv20_6,0.773,0.895,0.829
SEIR015_sl1000_mr025_nv20_7,0.889,0.889,0.889
SEIR015_sl1000_mr025_nv20_8,0.613,0.731,0.667
SEIR015_sl1000_mr025_nv20_9,0.737,0.778,0.757
SEIR015_sl1000_mr025_nv5_1,0.571,0.571,0.571
SEIR015_sl1000_mr025_nv5_10,0.59,0.639,0.613
SEIR015_sl1000_mr025_nv5_11,0.615,0.681,0.646
SEIR015_sl1000_mr025_nv5_12,0.636,0.636,0.636
SEIR015_sl1000_mr025_nv5_13,0.903,0.903,0.903
SEIR015_sl1000_mr025_nv5_14,0.667,0.8,0.727
SEIR015_sl1000_mr025_nv5_15,0.623,0.662,0.642
SEIR015_sl1000_mr025_nv5_16,0.769,0.769,0.769
SEIR015_sl1000_mr025_nv5_17,0.857,0.878,0.867
SEIR015_sl1000_mr025_nv5_18,0.6,0.6,0.6
SEIR015_sl1000_mr025_nv5_19,0.312,0.455,0.37
SEIR015_sl1000_mr025_nv5_2,0.6,0.667,0.632
SEIR015_sl1000_mr025_nv5_20,0.628,0.659,0.643
