dataset,precision,recall,f1
SEIR01_sl1000_mr0125_nv10_11,0.846,0.846,0.846
SEIR01_sl1000_mr0125_nv10_12,0.2,0.2,0.2
SEIR01_sl1000_mr0125_nv10_13,0.818,0.9,0.857
SEIR01_sl1000_mr0125_nv10_14,0.933,0.933,0.933
SEIR01_sl1000_mr0125_nv10_15,0.792,0.792,0.792
SEIR01_sl1000_mr0125_nv10_16,0.571,0.571,0.571
SEIR01_sl1000_mr0125_nv10_17,0.833,0.833,0.833
SEIR01_sl1000_mr0125_nv10_18,0.771,0.822,0.796
SEIR01_sl1000_mr0125_nv10_19,0.839,0.867,0.852
SEIR01_sl1000_mr0125_nv10_2,0.846,0.846,0.846
SEIR01_sl1000_mr0125_nv10_20,0.92,0.92,0.92
SEIR01_sl1000_mr0125_nv10_3,0.842,0.842,0.842
SEIR01_sl1000_mr0125_nv10_4,0.792,0.792,0.792
SEIR01_sl1000_mr0125_nv10_5,0.812,0.83,0.821
SEIR01_sl1000_mr0125_nv10_6,0.755,0.771,0.763
SEIR01_sl1000_mr0125_nv10_7,0.897,0.897,0.897
SEIR01_sl1000_mr0125_nv10_8,0.5,0.5,0.5
SEIR01_sl1000_mr0125_nv10_9,0.812,0.83,0.821
SEIR01_sl1000_mr025_nv10_1,0.821,0.821,0.821
SEIR01_sl1000_mr025_nv10_10,0.778,0.778,0.778
SEIR01_sl1000_mr025_nv10_11,0.811,0.857,0.833
SEIR01_sl1000_mr025_nv10_12,0.75,0.75,0.75
SEIR01_sl1000_mr025_nv10_13,0.476,0.5,0.488
SEIR01_sl1000_mr025_nv10_14,0.853,0.853,0.853
SEIR01_sl1000_mr025_nv10_15,0.7,0.7,0.7
SEIR01_sl1000_mr025_nv10_16,0.837,0.857,0.847
SEIR01_sl1000_mr025_nv10_17,0.711,0.711,0.711
SEIR01_sl1000_mr025_nv10_18,0.778,0.778,0.778
SEIR01_sl1000_mr025_nv10_19,0.726,0.763,0.744
SEIR01_sl1000_mr025_nv10_2,0.792,0.864,0.826
SEIR01_sl1000_mr025_nv10_20,0.765,0.765,0.765
SEIR01_sl1000_mr025_nv10_3,0.769,0.816,0.792
SEIR01_sl1000_mr025_nv10_4,0.87,0.904,0.887
SEIR01_sl1000_mr025_nv10_5,0.886,0.886,0.886
SEIR01_sl1000_mr025_nv10_6,0.857,0.857,0.857
SEIR01_sl1000_mr025_nv10_7,0.732,0.75,0.741
SEIR01_sl1000_mr025_nv10_8,0.815,0.815,0.815
SEIR01_sl1000_mr025_nv10_9,0.809,0.809,0.809
SEIR01_sl1000_mr025_nv20_1,0.824,0.875,0.848
SEIR01_sl1000_mr025_nv20_10,0.556,0.556,0.556
SEIR01_sl1000_mr025_nv20_11,0.8,0.8,0.8
SEIR01_sl1000_mr025_nv20_12,0.833,0.833,0.833
SEIR01_sl1000_mr025_nv20_13,0.767,0.793,0.78
SEIR01_sl1000_mr025_nv20_14,0.846,0.846,0.846
SEIR01_sl1000_mr025_nv20_15,0.833,0.87,0.851
SEIR01_sl1000_mr025_nv20_16,0.5,0.714,0.588
SEIR01_sl1000_mr025_nv20_17,0.88,0.88,0.88
SEIR01_sl1000_mr025_nv20_18,0.885,0.885,0.885
SEIR01_sl1000_mr025_nv20_19,0.925,0.925,0.925
SEIR01_sl1000_mr025_nv20_2,0.814,0.833,0.824
SEIR01_sl1000_mr025_nv20_20,0.727,0.774,0.75
SEIR01_sl1000_mr025_nv20_3,0.864,0.905,0.884
SEIR01_sl1000_mr025_nv20_4,0.75,0.75,0.75
SEIR01_sl1000_mr025_nv20_5,0.824,0.848,0.836
SEIR01_sl1000_mr025_nv20_6,0.917,1,0.957
SEIR01_sl1000_mr025_nv20_7,0.824,0.824,0.824
SEIR01_sl1000_mr025_nv20_8,0.6,0.6,0.6
SEIR01_sl1000_mr025_nv20_9,0.917,0.917,0.917
SEIR01_sl1000_mr025_nv5_1,0.714,0.732,0.723
SEIR01_sl1000_mr025_nv5_10,0.676,0.697,0.687
SEIR01_sl1000_mr025_nv5_11,0.737,0.737,0.737
SEIR01_sl1000_mr025_nv5_12,0.632,0.632,0.632
SEIR01_sl1000_mr025_nv5_13,0.833,0.833,0.833
SEIR01_sl1000_mr025_nv5_14,0.773,0.85,0.81
SEIR01_sl1000_mr025_nv5_15,0.667,0.667,0.667
SEIR01_sl1000_mr025_nv5_16,0.889,0.889,0.889
SEIR01_sl1000_mr025_nv5_17,0.818,0.818,0.818
SEIR01_sl1000_mr025_nv5_18,0.694,0.723,0.708
SEIR01_sl1000_mr025_nv5_19,0.845,0.845,0.845
SEIR01_sl1000_mr025_nv5_2,0.471,0.5,0.485
SEIR01_sl1000_mr025_nv5_20,0.64,0.667,0.653
SEIR01_sl1000_mr025_nv5_3,0.636,0.7,0.667
SEIR01_sl1000_mr025_nv5_4,0.7,0.7,0.7
SEIR01_sl1000_mr025_nv5_5,0.556,0.588,0.571
SEIR01_sl1000_mr025_nv5_6,0.75,0.75,0.75
SEIR01_sl1000_mr025_nv5_7,0.9,0.9,0.9
SEIR01_sl1000_mr025_nv5_8,0.792,0.826,0.809
SEIR01_sl1000_mr025_nv5_9,0.556,0.556,0.556
SEIR01_sl1000_mr05_nv10_1,0.846,0.846,0.846
SEIR01_sl1000_mr05_nv10_10,0.857,0.857,0.857
SEIR01_sl1000_mr05_nv10_11,0.714,0.781,0.746
SEIR01_sl1000_mr05_nv10_12,0.847,0.862,0.855
SEIR01_sl1000_mr05_nv10_13,0.875,0.875,0.875
SEIR01_sl1000_mr05_nv10_14,0.744,0.744,0.744
SEIR01_sl1000_mr05_nv10_15,0.875,0.875,0.875
SEIR01_sl1000_mr05_nv10_16,0.909,0.909,0.909
SEIR01_sl1000_mr05_nv10_17,0.783,0.818,0.8
SEIR01_sl1000_mr05_nv10_18,0.807,0.821,0.814
SEIR01_sl1000_mr05_nv10_19,0.429,0.429,0.429
SEIR01_sl1000_mr05_nv10_2,0.889,1,0.941
SEIR01_sl1000_mr05_nv10_20,0.8,0.846,0.822
SEIR01_sl1000_mr05_nv10_3,0.8,0.8,0.8
SEIR01_sl1000_mr05_nv10_4,0.667,0.727,0.696
SEIR01_sl1000_mr05_nv10_5,0.833,0.833,0.833
SEIR01_sl1000_mr05_nv10_6,0.69,0.725,0.707
SEIR01_sl1000_mr05_nv10_7,0.745,0.761,0.753
SEIR01_sl1000_mr05_nv10_8,0.875,0.875,0.875
SEIR01_sl1000_mr05_nv10_9,0.821,0.885,0.852
SEIR01_sl250_mr025_nv10_1,0.527,0.644,0.58
SEIR01_sl250_mr025_nv10_10,0.667,0.706,0.686
SEIR01_sl250_mr025_nv10_11,0.684,0.812,0.743
SEIR01_sl250_mr025_nv10_12,0.792,0.884,0.835
SEIR01_sl250_mr025_nv10_13,0.571,0.667,0.615
SEIR01_sl250_mr025_nv10_14,0.635,0.717,0.673
SEIR01_sl250_mr025_nv10_15,0.636,1,0.778
SEIR01_sl250_mr025_nv10_16,0.435,0.587,0.5
SEIR01_sl250_mr025_nv10_17,0.429,0.75,0.545
SEIR01_sl250_mr025_nv10_18,0.641,0.781,0.704
SEIR01_sl250_mr025_nv10_19,0.643,0.75,0.692
SEIR01_sl250_mr025_nv10_2,0.688,0.786,0.733
SEIR01_sl250_mr025_nv10_20,0.789,0.833,0.811
SEIR01_sl250_mr025_nv10_3,0.667,0.815,0.733
SEIR01_sl250_mr025_nv10_4,0.812,0.929,0.867
SEIR01_sl250_mr025_nv10_5,0.592,0.707,0.644
SEIR01_sl250_mr025_nv10_6,0.516,0.727,0.604
SEIR01_sl250_mr025_nv10_7,0.706,0.857,0.774
SEIR01_sl250_mr025_nv10_8,0.643,0.794,0.711
SEIR01_sl250_mr025_nv10_9,0.694,0.82,0.752
SEIR01_sl500_mr025_nv10_1,0.5,0.6,0.545
SEIR01_sl500_mr025_nv10_10,0.625,0.714,0.667
SEIR01_sl500_mr025_nv10_11,0.824,0.824,0.824
SEIR01_sl500_mr025_nv10_12,0.807,0.902,0.852
SEIR01_sl500_mr025_nv10_13,0.636,0.7,0.667
SEIR01_sl500_mr025_nv10_14,0.833,0.833,0.833
SEIR01_sl500_mr025_nv10_15,0.803,0.845,0.824
SEIR01_sl500_mr025_nv10_16,0.75,0.8,0.774
SEIR01_sl500_mr025_nv10_17,0.5,0.5,0.5
SEIR01_sl500_mr025_nv10_18,0.167,0.167,0.167
SEIR01_sl500_mr025_nv10_19,0.5,0.625,0.556
SEIR01_sl500_mr025_nv10_2,0.75,0.75,0.75
SEIR01_sl500_mr025_nv10_20,0.719,0.719,0.719
SEIR01_sl500_mr025_nv10_3,0.75,0.857,0.8
SEIR01_sl500_mr025_nv10_4,0.857,0.857,0.857
SEIR01_sl500_mr025_nv10_5,0.5,0.6,0.545
SEIR01_sl500_mr025_nv10_6,0.789,0.849,0.818
SEIR01_sl500_mr025_nv10_7,0.833,0.882,0.857
SEIR01_sl500_mr025_nv10_8,0.737,0.875,0.8
SEIR01_sl500_mr025_nv10_9,0.778,0.778,0.778
SIR003_sl1000_mr025_nv10_1,0.643,0.643,0.643
SIR003_sl1000_mr025_nv10_10,0.769,0.769,0.769
SIR003_sl1000_mr025_nv10_11,0.667,0.667,0.667
SIR003_sl1000_mr025_nv10_12,0.72,0.735,0.727
SIR003_sl1000_mr025_nv10_13,0.545,0.545,0.545
SIR003_sl1000_mr025_nv10_14,0.733,0.733,0.733
SIR003_sl1000_mr025_nv10_15,0.625,0.625,0.625
SIR003_sl1000_mr025_nv10_16,0.667,0.706,0.686
SIR003_sl1000_mr025_nv10_17,0.75,0.783,0.766
SIR003_sl1000_mr025_nv10_18,0.8,0.8,0.8
SIR003_sl1000_mr025_nv10_19,0.64,0.667,0.653
SIR003_sl1000_mr025_nv10_2,0.8,0.842,0.821
SIR003_sl1000_mr025_nv10_20,0.667,0.667,0.667
SIR003_sl1000_mr025_nv10_3,0.852,0.885,0.868
SIR003_sl1000_mr025_nv10_4,0.677,0.677,0.677
SIR003_sl1000_mr025_nv10_5,0.714,0.714,0.714
SIR003_sl1000_mr025_nv10_6,0.783,0.783,0.783
SIR003_sl1000_mr025_nv10_7,0.5,0.5,0.5
SIR003_sl1000_mr025_nv10_8,0.8,0.8,0.8
SIR003_sl1000_mr025_nv10_9,0.714,0.714,0.714
SIR003_sl1000_mr05_nv10_1,0.706,0.706,0.706
SIR003_sl1000_mr05_nv10_10,0.923,0.923,0.923
SIR003_sl1000_mr05_nv10_11,0.657,0.657,0.657
SIR003_sl1000_mr05_nv10_12,0.855,0.855,0.855
SIR003_sl1000_mr05_nv10_13,0.75,0.75,0.75
SIR003_sl1000_mr05_nv10_14,1,1,1
SIR003_sl1000_mr05_nv10_15,0.846,0.846,0.846
SIR003_sl1000_mr05_nv10_16,0.577,0.6,0.588
SIR003_sl1000_mr05_nv10_17,0.643,0.643,0.643
SIR003_sl1000_mr05_nv10_18,0.783,0.783,0.783
SIR003_sl1000_mr05_nv10_19,0.811,0.811,0.811
SIR003_sl1000_mr05_nv10_2,0.867,0.867,0.867
SIR003_sl1000_mr05_nv10_20,0.444,0.444,0.444
SIR003_sl1000_mr05_nv10_3,0.8,0.8,0.8
SIR003_sl1000_mr05_nv10_4,0.846,0.846,0.846
SIR003_sl1000_mr05_nv10_5,0.404,0.413,0.409
SIR003_sl1000_mr05_nv10_6,0.636,0.667,0.651
SIR003_sl1000_mr05_nv10_7,0.826,0.826,0.826
SIR003_sl1000_mr05_nv10_8,0.745,0.761,0.753
SIR003_sl1000_mr05_nv10_9,0.633,0.633,0.633
SIR003_sl1000_mr05_nv20_1,0.778,0.8,0.789
SIR003_sl1000_mr05_nv20_10,0.885,0.885,0.885
SIR003_sl1000_mr05_nv20_11,0.6,0.6,0.6
SIR003_sl1000_mr05_nv20_12,0.661,0.673,0.667
SIR003_sl1000_mr05_nv20_13,0.722,0.722,0.722
SIR003_sl1000_mr05_nv20_14,1,1,1
SIR003_sl1000_mr05_nv20_15,0.789,0.789,0.789
SIR003_sl1000_mr05_nv20_16,0.814,0.814,0.814
SIR003_sl1000_mr05_nv20_17,0.78,0.78,0.78
SIR003_sl1000_mr05_nv20_18,0.718,0.737,0.727
SIR003_sl1000_mr05_nv20_19,0.757,0.757,0.757
SIR003_sl1000_mr05_nv20_2,0.653,0.653,0.653
SIR003_sl1000_mr05_nv20_20,0.714,0.714,0.714
SIR003_sl1000_mr05_nv20_3,0.615,0.615,0.615
SIR003_sl1000_mr05_nv20_4,0.781,0.781,0.781
SIR003_sl1000_mr05_nv20_5,0.667,0.667,0.667
SIR003_sl1000_mr05_nv20_6,0.8,0.857,0.828
SIR003_sl1000_mr05_nv20_7,0.667,0.667,0.667
SIR003_sl1000_mr05_nv20_8,0.593,0.593,0.593
SIR003_sl1000_mr05_nv20_9,0.75,0.75,0.75
SIR003_sl1000_mr05_nv5_1,0.743,0.743,0.743
SIR003_sl1000_mr05_nv5_10,0.756,0.756,0.756
SIR003_sl1000_mr05_nv5_11,0.651,0.661,0.656
SIR003_sl1000_mr05_nv5_12,1,1,1
SIR003_sl1000_mr05_nv5_13,0.667,0.727,0.696
SIR003_sl1000_mr05_nv5_14,0.586,0.586,0.586
SIR003_sl1000_mr05_nv5_15,0.758,0.758,0.758
SIR003_sl1000_mr05_nv5_16,0.667,0.667,0.667
SIR003_sl1000_mr05_nv5_17,0.583,0.583,0.583
SIR003_sl1000_mr05_nv5_18,0.812,0.812,0.812
SIR003_sl1000_mr05_nv5_19,0.611,0.647,0.629
SIR003_sl1000_mr05_nv5_2,0.583,0.583,0.583
SIR003_sl1000_mr05_nv5_20,0.643,0.692,0.667
SIR003_sl1000_mr05_nv5_3,0.75,0.75,0.75
SIR003_sl1000_mr05_nv5_4,0.857,0.857,0.857
SIR003_sl1000_mr05_nv5_5,0.545,0.545,0.545
SIR003_sl1000_mr05_nv5_6,0.364,0.364,0.364
SIR003_sl1000_mr05_nv5_7,0.667,0.676,0.671
SIR003_sl1000_mr05_nv5_8,0.577,0.6,0.588
SIR003_sl1000_mr05_nv5_9,0.667,0.667,0.667
SIR003_sl1000_mr1_nv10_1,0.647,0.647,0.647
SIR003_sl1000_mr1_nv10_10,0.545,0.545,0.545
SIR003_sl1000_mr1_nv10_11,0.7,0.7,0.7
SIR003_sl1000_mr1_nv10_12,0.464,0.481,0.473
SIR003_sl1000_mr1_nv10_13,0.167,0.167,0.167
SIR003_sl1000_mr1_nv10_14,0.75,0.75,0.75
SIR003_sl1000_mr1_nv10_15,0.636,0.636,0.636
SIR003_sl1000_mr1_nv10_16,0.619,0.65,0.634
SIR003_sl1000_mr1_nv10_17,0.688,0.688,0.688
SIR003_sl1000_mr1_nv10_18,0.727,0.727,0.727
SIR003_sl1000_mr1_nv10_19,0.766,0.766,0.766
SIR003_sl1000_mr1_nv10_2,0.688,0.698,0.693
SIR003_sl1000_mr1_nv10_20,0.667,0.667,0.667
SIR003_sl1000_mr1_nv10_3,0.739,0.739,0.739
SIR003_sl1000_mr1_nv10_4,0.862,0.862,0.862
SIR003_sl1000_mr1_nv10_5,0.667,0.667,0.667
SIR003_sl1000_mr1_nv10_6,0.7,0.7,0.7
SIR003_sl1000_mr1_nv10_7,0.75,0.75,0.75
SIR003_sl1000_mr1_nv10_8,0.771,0.771,0.771
SIR003_sl1000_mr1_nv10_9,0.889,0.889,0.889
SIR003_sl250_mr05_nv10_1,0.568,0.656,0.609
SIR003_sl250_mr05_nv10_10,0.5,0.579,0.537
SIR003_sl250_mr05_nv10_11,0.4,0.5,0.444
SIR003_sl250_mr05_nv10_12,0.429,0.462,0.444
SIR003_sl250_mr05_nv10_13,0.714,0.714,0.714
SIR003_sl250_mr05_nv10_14,0.625,0.625,0.625
SIR003_sl250_mr05_nv10_15,0.778,0.875,0.824
SIR003_sl250_mr05_nv10_16,0.583,0.636,0.609
SIR003_sl250_mr05_nv10_17,0.633,0.689,0.66
SIR003_sl250_mr05_nv10_18,0.567,0.63,0.596
SIR003_sl250_mr05_nv10_19,0.3,0.36,0.327
SIR003_sl250_mr05_nv10_2,0.688,0.786,0.733
SIR003_sl250_mr05_nv10_20,0.5,0.561,0.529
SIR003_sl250_mr05_nv10_3,0.818,0.818,0.818
SIR003_sl250_mr05_nv10_4,0.846,0.917,0.88
SIR003_sl250_mr05_nv10_5,0.696,0.727,0.711
SIR003_sl250_mr05_nv10_6,0.706,0.727,0.716
SIR003_sl250_mr05_nv10_7,0.396,0.457,0.424
SIR003_sl250_mr05_nv10_8,0.4,0.471,0.432
SIR003_sl250_mr05_nv10_9,0.5,0.667,0.571
SIR003_sl500_mr05_nv10_1,0.625,0.714,0.667
SIR003_sl500_mr05_nv10_10,0.525,0.538,0.532
SIR003_sl500_mr05_nv10_11,0.833,0.833,0.833
SIR003_sl500_mr05_nv10_12,0.571,0.615,0.593
SIR003_sl500_mr05_nv10_13,0.588,0.625,0.606
SIR003_sl500_mr05_nv10_14,0.636,0.636,0.636
SIR003_sl500_mr05_nv10_15,0.947,0.947,0.947
SIR003_sl500_mr05_nv10_16,0.643,0.75,0.692
SIR003_sl500_mr05_nv10_17,0.7,0.7,0.7
SIR003_sl500_mr05_nv10_18,0.923,0.923,0.923
SIR003_sl500_mr05_nv10_19,0.617,0.617,0.617
SIR003_sl500_mr05_nv10_2,0.794,0.794,0.794
SIR003_sl500_mr05_nv10_20,0.375,0.375,0.375
SIR003_sl500_mr05_nv10_3,0.759,0.759,0.759
SIR003_sl500_mr05_nv10_4,0.556,0.577,0.566
SIR003_sl500_mr05_nv10_5,0.545,0.6,0.571
SIR003_sl500_mr05_nv10_6,0.762,0.762,0.762
SIR003_sl500_mr05_nv10_7,0.619,0.722,0.667
SIR003_sl500_mr05_nv10_8,0.562,0.6,0.581
SIR003_sl500_mr05_nv10_9,0.857,0.857,0.857
SIR01_sl1000_mr075_nv10_1,0.707,0.719,0.713
SIR01_sl1000_mr075_nv10_10,1,1,1
SIR01_sl1000_mr075_nv10_11,1,1,1
SIR01_sl1000_mr075_nv10_12,0.867,0.867,0.867
SIR01_sl1000_mr075_nv10_13,0.5,0.5,0.5
SIR01_sl1000_mr075_nv10_14,0.714,0.714,0.714
SIR01_sl1000_mr075_nv10_15,1,1,1
SIR01_sl1000_mr075_nv10_16,0.842,0.889,0.865
SIR01_sl1000_mr075_nv10_17,0.704,0.704,0.704
SIR01_sl1000_mr075_nv10_18,0.833,0.909,0.87
SIR01_sl1000_mr075_nv10_19,0.727,0.727,0.727
