dataset,precision,recall,f1
SEIR015_sl1000_mr0125_nv10_1,0.944,0.932,0.938
SEIR015_sl1000_mr0125_nv10_10,0.947,0.947,0.947
SEIR015_sl1000_mr0125_nv10_11,0.692,0.692,0.692
SEIR015_sl1000_mr0125_nv10_12,0.857,0.857,0.857
SEIR015_sl1000_mr0125_nv10_13,0.96,0.96,0.96
SEIR015_sl1000_mr0125_nv10_14,0.821,0.885,0.852
SEIR015_sl1000_mr0125_nv10_15,0.816,0.689,0.747
SEIR015_sl1000_mr0125_nv10_16,0.739,0.81,0.773
SEIR015_sl1000_mr0125_nv10_17,0.7,0.808,0.75
SEIR015_sl1000_mr0125_nv10_18,0.8,0.8,0.8
SEIR015_sl1000_mr0125_nv10_19,0.704,0.613,0.655
SEIR015_sl1000_mr0125_nv10_2,0.8,0.75,0.774
SEIR015_sl1000_mr0125_nv10_20,0.795,0.854,0.824
SEIR015_sl1000_mr0125_nv10_3,0.7,0.778,0.737
SEIR015_sl1000_mr0125_nv10_4,0.8,0.8,0.8
SEIR015_sl1000_mr0125_nv10_5,0.846,0.647,0.733
SEIR015_sl1000_mr0125_nv10_6,0.842,0.914,0.877
SEIR015_sl1000_mr0125_nv10_7,0.811,0.882,0.845
SEIR015_sl1000_mr0125_nv10_8,0.7,0.778,0.737
SEIR015_sl1000_mr0125_nv10_9,0.45,0.429,0.439
SEIR015_sl1000_mr025_nv10_1,0.9,0.9,0.9
SEIR015_sl1000_mr025_nv10_10,0.909,0.909,0.909
SEIR015_sl1000_mr025_nv10_11,0.911,0.911,0.911
SEIR015_sl1000_mr025_nv10_12,0.692,0.9,0.783
SEIR015_sl1000_mr025_nv10_13,0.286,0.4,0.333
SEIR015_sl1000_mr025_nv10_14,0.667,0.8,0.727
SEIR015_sl1000_mr025_nv10_15,0.639,0.672,0.655
SEIR015_sl1000_mr025_nv10_16,0.812,0.929,0.867
SEIR015_sl1000_mr025_nv10_17,0.821,0.842,0.831
SEIR015_sl1000_mr025_nv10_18,0.692,0.73,0.711
SEIR015_sl1000_mr025_nv10_19,0.85,0.895,0.872
SEIR015_sl1000_mr025_nv10_2,0.797,0.839,0.817
SEIR015_sl1000_mr025_nv10_20,0.6,0.75,0.667
SEIR015_sl1000_mr025_nv10_3,0.939,1,0.968
SEIR015_sl1000_mr025_nv10_4,0.8,0.818,0.809
SEIR015_sl1000_mr025_nv10_5,0.857,0.875,0.866
SEIR015_sl1000_mr025_nv10_6,0.826,0.826,0.826
SEIR015_sl1000_mr025_nv10_7,0.778,0.778,0.778
SEIR015_sl1000_mr025_nv10_8,0.95,0.95,0.95
SEIR015_sl1000_mr025_nv10_9,0.877,0.893,0.885
SEIR015_sl1000_mr025_nv20_1,0.667,0.667,0.667
SEIR015_sl1000_mr025_nv20_10,0.417,0.556,0.476
SEIR015_sl1000_mr025_nv20_11,0.857,0.923,0.889
SEIR015_sl1000_mr025_nv20_12,0.542,0.65,0.591
SEIR015_sl1000_mr025_nv20_13,0.692,1,0.818
SEIR015_sl1000_mr025_nv20_14,0.909,0.909,0.909
SEIR015_sl1000_mr025_nv20_15,0.581,0.75,0.655
