dataset,precision,recall,f1
SEIR015_sl1000_mr0125_nv10_1,0.61,0.644,0.627
SEIR015_sl1000_mr0125_nv10_10,0.667,0.737,0.7
SEIR015_sl1000_mr0125_nv10_11,0.692,0.692,0.692
SEIR015_sl1000_mr0125_nv10_12,0.714,0.714,0.714
SEIR015_sl1000_mr0125_nv10_13,0.78,0.78,0.78
SEIR015_sl1000_mr0125_nv10_14,0.75,0.808,0.778
SEIR015_sl1000_mr0125_nv10_15,0.467,0.467,0.467
SEIR015_sl1000_mr0125_nv10_16,0.667,0.762,0.711
SEIR015_sl1000_mr0125_nv10_17,0.576,0.731,0.644
SEIR015_sl1000_mr0125_nv10_18,0.636,0.7,0.667
SEIR015_sl1000_mr0125_nv10_19,0.531,0.548,0.54
SEIR015_sl1000_mr0125_nv10_2,0.688,0.688,0.688
SEIR015_sl1000_mr0125_nv10_20,0.778,0.854,0.814
SEIR015_sl1000_mr0125_nv10_3,0.727,0.889,0.8
SEIR015_sl1000_mr0125_nv10_4,0.8,0.8,0.8
SEIR015_sl1000_mr0125_nv10_5,0.333,0.333,0.333
SEIR015_sl1000_mr0125_nv10_6,0.737,0.8,0.767
SEIR015_sl1000_mr0125_nv10_7,0.658,0.735,0.694
SEIR015_sl1000_mr0125_nv10_8,0.45,0.5,0.474
SEIR015_sl1000_mr0125_nv10_9,0.44,0.524,0.478
SEIR015_sl1000_mr025_nv10_1,0.8,0.8,0.8
SEIR015_sl1000_mr025_nv10_10,0.545,0.545,0.545
SEIR015_sl1000_mr025_nv10_11,0.627,0.661,0.643
SEIR015_sl1000_mr025_nv10_12,0.75,0.9,0.818
SEIR015_sl1000_mr025_nv10_13,0.214,0.3,0.25
SEIR015_sl1000_mr025_nv10_14,0.467,0.56,0.509
SEIR015_sl1000_mr025_nv10_15,0.391,0.466,0.425
SEIR015_sl1000_mr025_nv10_16,0.625,0.714,0.667
SEIR015_sl1000_mr025_nv10_17,0.692,0.711,0.701
SEIR015_sl1000_mr025_nv10_18,0.61,0.676,0.641
SEIR015_sl1000_mr025_nv10_19,0.636,0.737,0.683
SEIR015_sl1000_mr025_nv10_2,0.593,0.625,0.609
