Spreaders,Name,Count
2019-12,Utah,5.00
,Missouri,2.51
,Massachusetts,2.30
,Illinois,1.85
,California,1.79
2020-01,Missouri,4.69
,California,4.34
,Utah,4.24
,Arizona,4.00
,Illinois,3.90
2020-02,NewYork,34.82
,Michigan,26.37
,California,26.27
,Florida,23.07
,Oregon,22.17
2020-03,NewYork,42.30
,California,35.31
,Michigan,27.37
,Maryland,26.12
,Connecticut,23.77
2020-04,Illinois,2.90
,Wisconsin,2.44
,Oregon,2.10
,California,2.06
,Utah,1.50
2020-05,Wisconsin,7.70
,Illinois,6.10
,California,1.80
,Utah,0.20
,Minnesota,0.20
2020-06,Wisconsin,2.80
,Illinois,2.20
,NewYork,0.30
,Utah,0.20
,California,0.10


Receivers,Name,Count
2019-12,California,1.93
,Missouri,1.86
,Utah,1.60
,Illinois,1.45
,Oregon,1.39
2020-01,Pennsylvania,3.40
,Florida,3.20
,Utah,2.94
,SouthCarolina,2.85
,California,2.78
2020-02,Virginia,21.55
,Florida,21.51
,Utah,18.99
,NewYork,18.88
,California,18.76
2020-03,Maryland,25.36
,Wisconsin,23.69
,Virginia,23.12
,Texas,22.99
,Connecticut,20.64
2020-04,Wisconsin,2.80
,Washington,2.20
,California,1.74
,Illinois,1.50
,Michigan,1.20
2020-05,Illinois,3.90
,Minnesota,2.40
,Wisconsin,2.00
,NewYork,2.00
,Florida,1.60
2020-06,NewYork,1.10
,NewJersey,1.00
,Illinois,1.00
,Wisconsin,1.00
,Massachusetts,0.60
