dataset,phylo_prec,phylo_rec,phylo_f1,sharp_prec,sharp_rec,sharp_f1,tnet_prec,tnet_rec,tnet_f1,tnet_bias_prec,tnet_bias_rec,tnet_bias_f1
SIR01_sl1000_mr15_nv5_19,0.684,0.619,0.65,0.8,0.571,0.667,0.8,0.571,0.667,0,0,0
SIR01_sl1000_mr15_nv5_17,0.857,0.75,0.8,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875
SIR01_sl500_mr15_nv10_15,0.75,0.5,0.6,0.773,0.567,0.654,0.72,0.6,0.655,0.769,0.667,0.714
SIR01_sl1000_mr15_nv20_5,0.667,0.6,0.632,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7
SIR01_sl1000_mr15_nv10_6,1,0.571,0.727,0.778,1,0.875,1,0.857,0.923,1,1,1
SIR01_sl1000_mr15_nv5_5,0.625,0.455,0.526,0.667,0.364,0.471,0.667,0.364,0.471,0.636,0.636,0.636
SIR01_sl500_mr15_nv10_7,1,0.571,0.727,0.778,1,0.875,0.75,0.857,0.8,0.75,0.857,0.8
SIR01_sl1000_mr075_nv10_18,0.9,0.818,0.857,0.833,0.909,0.87,0.833,0.909,0.87,0.818,0.818,0.818
SIR01_sl1000_mr3_nv10_14,0.952,0.714,0.816,0.885,0.821,0.852,0.909,0.714,0.8,0.917,0.786,0.846
SIR01_sl500_mr15_nv10_20,1,0.52,0.684,0.944,0.68,0.791,0.941,0.64,0.762,0.944,0.68,0.791
SIR01_sl1000_mr075_nv10_17,0.809,0.535,0.644,0.848,0.549,0.667,0.864,0.535,0.661,0.763,0.634,0.692
SIR01_sl1000_mr15_nv20_12,0.778,0.467,0.583,0.889,0.533,0.667,0.889,0.533,0.667,0.727,0.533,0.615
SIR01_sl500_mr15_nv10_14,0.667,0.513,0.58,0.786,0.564,0.657,0.792,0.487,0.603,0.636,0.538,0.583
SIR01_sl1000_mr075_nv10_7,0.917,0.917,0.917,0.909,0.833,0.87,0.909,0.833,0.87,0.917,0.917,0.917
SIR01_sl500_mr15_nv10_18,0.857,0.48,0.615,0.789,0.6,0.682,0.824,0.56,0.667,0.778,0.56,0.651
SIR01_sl1000_mr3_nv10_5,0.857,0.643,0.735,0.818,0.643,0.72,0.818,0.643,0.72,0.75,0.75,0.75
SIR01_sl1000_mr15_nv5_12,0.8,0.522,0.632,0.667,0.435,0.526,0.667,0.435,0.526,0.762,0.696,0.727
SIR01_sl1000_mr15_nv10_20,0.75,0.667,0.706,0.7,0.778,0.737,0.7,0.778,0.737,0.778,0.778,0.778
SIR01_sl1000_mr3_nv10_13,0.846,0.611,0.71,0.909,0.556,0.69,0.909,0.556,0.69,0.759,0.611,0.677
SIR01_sl1000_mr15_nv5_8,1,0.25,0.4,0.6,0.375,0.462,0.6,0.375,0.462,0.375,0.375,0.375
SIR01_sl500_mr15_nv10_5,0.906,0.558,0.69,0.889,0.769,0.825,0.875,0.673,0.761,0.841,0.712,0.771
SIR01_sl1000_mr3_nv10_15,1,0.333,0.5,0.8,0.444,0.571,0.8,0.444,0.571,0.667,0.667,0.667
SIR01_sl500_mr15_nv10_2,0.818,0.429,0.562,0.85,0.81,0.829,0.8,0.762,0.78,0.778,0.667,0.718
SIR01_sl1000_mr15_nv20_7,1,0.786,0.88,0.96,0.857,0.906,0.96,0.857,0.906,0.923,0.857,0.889
SIR01_sl500_mr15_nv10_8,1,0.25,0.4,0.75,0.375,0.5,0.75,0.375,0.5,0.75,0.375,0.5
SIR01_sl1000_mr3_nv10_4,1,0.417,0.588,0.9,0.75,0.818,0.9,0.75,0.818,0.917,0.917,0.917
SIR01_sl250_mr15_nv10_6,0.8,0.186,0.302,0.636,0.326,0.431,0.6,0.279,0.381,0.632,0.279,0.387
SIR01_sl250_mr15_nv10_14,1,0.4,0.571,0.615,0.533,0.571,0.615,0.533,0.571,0.615,0.533,0.571
SIR01_sl250_mr15_nv10_20,0.5,0.143,0.222,0.571,0.571,0.571,0.5,0.571,0.533,0.5,0.571,0.533
SIR01_sl1000_mr3_nv10_3,0.765,0.65,0.703,0.933,0.7,0.8,0.867,0.65,0.743,0.7,0.7,0.7
SIR01_sl500_mr15_nv10_4,0.833,0.612,0.706,0.769,0.612,0.682,0.8,0.653,0.719,0.854,0.714,0.778
SIR01_sl1000_mr15_nv10_11,1,0.417,0.588,0.875,0.583,0.7,0.875,0.583,0.7,0.667,0.667,0.667
SIR01_sl500_mr15_nv10_12,1,0.167,0.286,0.75,0.5,0.6,0.667,0.333,0.444,0.667,0.333,0.444
SIR01_sl1000_mr3_nv10_19,0.5,0.433,0.464,0.812,0.433,0.565,0.824,0.467,0.596,0.538,0.467,0.5
SIR01_sl1000_mr15_nv5_14,0.812,0.591,0.684,0.833,0.682,0.75,0.833,0.682,0.75,0.739,0.773,0.756
SIR01_sl1000_mr075_nv10_9,0.773,0.63,0.694,0.889,0.593,0.711,0.889,0.593,0.711,0.773,0.63,0.694
SIR01_sl1000_mr075_nv10_11,1,0.571,0.727,0.778,1,0.875,0.778,1,0.875,0.75,0.857,0.8
SIR01_sl1000_mr15_nv10_19,1,0.667,0.8,0.889,0.889,0.889,0.889,0.889,0.889,0.889,0.889,0.889
SIR01_sl250_mr15_nv10_3,1,0.214,0.353,0.75,0.643,0.692,0.615,0.571,0.593,0.727,0.571,0.64
SIR01_sl250_mr15_nv10_16,1,0.348,0.516,0.812,0.565,0.667,0.778,0.609,0.683,0.8,0.522,0.632
SIR01_sl1000_mr15_nv10_5,1,0.8,0.889,1,0.8,0.889,1,0.8,0.889,0.9,0.9,0.9
SIR01_sl1000_mr15_nv10_10,0.792,0.594,0.679,0.846,0.688,0.759,0.864,0.594,0.704,0.769,0.625,0.69
SIR01_sl250_mr15_nv10_2,1,0.444,0.615,0.875,0.778,0.824,0.778,0.778,0.778,0.778,0.778,0.778
SIR01_sl1000_mr15_nv10_12,0.8,0.5,0.615,0.765,0.542,0.634,0.846,0.458,0.595,0.722,0.542,0.619
SIR01_sl1000_mr15_nv5_20,0.818,0.529,0.643,0.929,0.765,0.839,0.867,0.765,0.812,0.833,0.882,0.857
SIR01_sl1000_mr3_nv10_16,0.92,0.719,0.807,0.926,0.781,0.847,0.893,0.781,0.833,0.926,0.781,0.847
SIR01_sl1000_mr3_nv10_9,0.895,0.586,0.708,1,0.552,0.711,1,0.552,0.711,0.895,0.586,0.708
SIR01_sl500_mr15_nv10_11,0.909,0.588,0.714,0.923,0.706,0.8,0.857,0.706,0.774,0.722,0.765,0.743
SIR01_sl500_mr15_nv10_19,0.824,0.519,0.636,0.833,0.556,0.667,0.842,0.593,0.696,0.75,0.667,0.706
SIR01_sl250_mr15_nv10_19,1,0.714,0.833,0.833,0.714,0.769,0.714,0.714,0.714,0.714,0.714,0.714
SIR01_sl1000_mr15_nv5_11,0.75,0.333,0.462,0.714,0.556,0.625,0.714,0.556,0.625,0.667,0.667,0.667
SIR01_sl1000_mr15_nv5_13,0.8,0.5,0.615,0.812,0.812,0.812,0.812,0.812,0.812,0.812,0.812,0.812
SIR01_sl1000_mr15_nv10_14,1,0.75,0.857,0.75,0.75,0.75,0.857,0.75,0.8,0.889,1,0.941
SIR01_sl1000_mr15_nv20_19,0.932,0.804,0.863,0.911,0.804,0.854,0.932,0.804,0.863,0.898,0.863,0.88
SIR01_sl1000_mr075_nv10_16,0.923,0.667,0.774,0.944,0.944,0.944,0.944,0.944,0.944,0.895,0.944,0.919
SIR01_sl1000_mr15_nv10_16,1,0.286,0.444,0.75,0.857,0.8,0.857,0.857,0.857,0.714,0.714,0.714
SIR01_sl1000_mr15_nv20_3,1,0.4,0.571,1,0.4,0.571,1,0.4,0.571,0.6,0.6,0.6
SIR01_sl1000_mr15_nv10_7,0.767,0.66,0.71,0.875,0.7,0.778,0.85,0.68,0.756,0.739,0.68,0.708
SIR01_sl1000_mr075_nv10_1,0.87,0.702,0.777,0.898,0.772,0.83,0.88,0.772,0.822,0.828,0.842,0.835
SIR01_sl1000_mr15_nv5_6,0.812,0.565,0.667,0.857,0.522,0.649,0.857,0.522,0.649,0.765,0.565,0.65
SIR01_sl1000_mr15_nv10_4,1,0.5,0.667,0.8,0.5,0.615,0.8,0.5,0.615,0.8,0.5,0.615
SIR01_sl1000_mr15_nv10_18,0.807,0.667,0.73,0.911,0.739,0.816,0.909,0.725,0.806,0.791,0.768,0.779
SIR01_sl1000_mr075_nv10_20,0.692,0.6,0.643,0.8,0.667,0.727,0.833,0.667,0.741,0.7,0.7,0.7
SIR01_sl250_mr15_nv10_9,1,0.1,0.182,0.333,0.3,0.316,0.286,0.2,0.235,0.286,0.2,0.235
SIR01_sl1000_mr075_nv10_10,1,0.625,0.769,1,0.875,0.933,1,0.75,0.857,1,1,1
SIR01_sl1000_mr15_nv5_15,0.75,0.6,0.667,0.75,0.667,0.706,0.816,0.689,0.747,0.721,0.689,0.705
SIR01_sl500_mr15_nv10_17,1,0.615,0.762,0.833,0.769,0.8,0.75,0.692,0.72,0.833,0.769,0.8
SIR01_sl1000_mr3_nv10_8,1,0.5,0.667,1,0.6,0.75,1,0.6,0.75,0.875,0.7,0.778
SIR01_sl1000_mr075_nv10_19,0.571,0.364,0.444,0.75,0.273,0.4,0.75,0.273,0.4,0.571,0.364,0.444
SIR01_sl500_mr15_nv10_13,0.6,0.429,0.5,0.714,0.714,0.714,0.714,0.714,0.714,0.714,0.714,0.714
SIR01_sl1000_mr3_nv10_2,0.778,0.778,0.778,0.778,0.778,0.778,0.778,0.778,0.778,0.778,0.778,0.778
SIR01_sl1000_mr15_nv5_10,1,0.727,0.842,1,0.727,0.842,1,0.727,0.842,1,0.727,0.842
SIR01_sl1000_mr075_nv10_8,0.909,0.625,0.741,0.909,0.625,0.741,0.909,0.625,0.741,0.909,0.625,0.741
SIR01_sl1000_mr15_nv10_9,0.769,0.476,0.588,0.737,0.667,0.7,0.778,0.667,0.718,0.714,0.714,0.714
SIR01_sl1000_mr15_nv10_8,1,0.6,0.75,1,0.6,0.75,1,0.6,0.75,0.8,0.8,0.8
SIR01_sl250_mr15_nv10_1,1,0.294,0.455,0.692,0.529,0.6,0.667,0.471,0.552,0.667,0.471,0.552
SIR01_sl1000_mr15_nv20_15,0.714,0.357,0.476,0.5,0.357,0.417,0.5,0.357,0.417,0.429,0.429,0.429
SIR01_sl1000_mr15_nv5_16,0.75,0.333,0.462,0.75,0.667,0.706,0.571,0.444,0.5,0.5,0.444,0.471
SIR01_sl500_mr15_nv10_9,0.921,0.614,0.737,0.9,0.789,0.841,0.935,0.754,0.835,0.863,0.772,0.815
SIR01_sl1000_mr15_nv20_20,0.9,0.643,0.75,0.857,0.857,0.857,0.857,0.857,0.857,0.846,0.786,0.815
SIR01_sl250_mr15_nv10_17,1,0.429,0.6,0.875,1,0.933,0.875,1,0.933,0.75,0.857,0.8
SIR01_sl1000_mr15_nv20_2,1,0.4,0.571,0.833,0.5,0.625,0.833,0.5,0.625,0.5,0.5,0.5
SIR01_sl250_mr15_nv10_5,1,0.222,0.364,0.571,0.444,0.5,0.5,0.444,0.471,0.714,0.556,0.625
SIR01_sl1000_mr15_nv10_2,0.909,0.769,0.833,1,0.692,0.818,1,0.692,0.818,1,0.769,0.87
SIR01_sl1000_mr075_nv10_15,1,0.667,0.8,0.833,0.833,0.833,0.833,0.833,0.833,0.833,0.833,0.833
SIR01_sl1000_mr15_nv10_15,0.667,0.526,0.588,0.767,0.605,0.676,0.76,0.5,0.603,0.583,0.553,0.568
SIR01_sl1000_mr075_nv10_5,0.909,0.781,0.84,0.942,0.766,0.845,0.942,0.766,0.845,0.879,0.797,0.836
SIR01_sl250_mr15_nv10_8,0.8,0.444,0.571,0.714,0.556,0.625,0.833,0.556,0.667,0.75,0.667,0.706
