dataset,phylo_prec,phylo_rec,phylo_f1,sharp_prec,sharp_rec,sharp_f1,tnet_prec,tnet_rec,tnet_f1,tnet_bias_prec,tnet_bias_rec,tnet_bias_f1
SIR01_sl1000_mr15_nv5_19,0.684,0.619,0.65,0.8,0.571,0.667,0.8,0.571,0.667,0,0,0
SEIR015_sl1000_mr025_nv10_3,1,0.761,0.864,0.907,0.848,0.876,0.907,0.848,0.876,0.915,0.935,0.925
SIR01_sl1000_mr15_nv5_17,0.857,0.75,0.8,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875
SEIR01_sl1000_mr025_nv5_14,1,0.6,0.75,1,0.9,0.947,1,0.9,0.947,1,0.9,0.947
SEIR01_sl1000_mr0125_nv10_9,0.977,0.915,0.945,0.976,0.872,0.921,0.977,0.894,0.933,0.938,0.957,0.947
SEIR015_sl1000_mr025_nv20_12,0.923,0.6,0.727,0.857,0.6,0.706,0.923,0.6,0.727,0.923,0.6,0.727
SIR01_sl1000_mr15_nv20_5,0.667,0.6,0.632,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7
SIR003_sl1000_mr05_nv10_17,0.75,0.429,0.545,0.75,0.429,0.545,0.75,0.429,0.545,0.75,0.429,0.545
SIR01_sl1000_mr15_nv10_6,1,0.571,0.727,0.778,1,0.875,1,0.857,0.923,1,1,1
SEIR015_sl1000_mr0125_nv10_7,0.98,0.706,0.821,0.929,0.765,0.839,0.98,0.721,0.831,0.983,0.868,0.922
SIR003_sl1000_mr1_nv10_20,0.793,0.667,0.724,0.923,0.696,0.793,0.885,0.667,0.76,0.778,0.71,0.742
SIR01_sl1000_mr15_nv5_5,0.625,0.455,0.526,0.667,0.364,0.471,0.667,0.364,0.471,0.636,0.636,0.636
SIR003_sl1000_mr05_nv5_17,0.706,0.5,0.585,0.794,0.562,0.659,0.812,0.542,0.65,0.638,0.625,0.632
SIR01_sl1000_mr075_nv10_18,0.9,0.818,0.857,0.833,0.909,0.87,0.833,0.909,0.87,0.818,0.818,0.818
SIR01_sl1000_mr3_nv10_14,0.952,0.714,0.816,0.885,0.821,0.852,0.909,0.714,0.8,0.917,0.786,0.846
SEIR015_sl1000_mr0125_nv10_15,0.964,0.6,0.74,0.806,0.556,0.658,0.893,0.556,0.685,0.932,0.911,0.921
SIR003_sl1000_mr025_nv10_7,0.643,0.562,0.6,0.643,0.562,0.6,0.643,0.562,0.6,0.6,0.562,0.581
SEIR01_sl1000_mr025_nv10_11,1,0.829,0.906,0.914,0.914,0.914,0.914,0.914,0.914,0.889,0.914,0.901
SIR01_sl1000_mr075_nv10_17,0.809,0.535,0.644,0.848,0.549,0.667,0.864,0.535,0.661,0.763,0.634,0.692
SEIR01_sl1000_mr025_nv10_13,0.944,0.85,0.895,0.824,0.7,0.757,0.824,0.7,0.757,0.857,0.9,0.878
SIR01_sl1000_mr15_nv20_12,0.778,0.467,0.583,0.889,0.533,0.667,0.889,0.533,0.667,0.727,0.533,0.615
SIR003_sl1000_mr05_nv5_18,0.8,0.5,0.615,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75
