dataset,phylo_prec,phylo_rec,phylo_f1,sharp_prec,sharp_rec,sharp_f1,tnet_prec,tnet_rec,tnet_f1,tnet_bias_prec,tnet_bias_rec,tnet_bias_f1
SIR01_sl500_mr15_nv10_15,0.75,0.5,0.6,0.773,0.567,0.654,0.72,0.6,0.655,0.769,0.667,0.714
SEIR015_sl500_mr025_nv10_2,0.833,0.625,0.714,0.625,0.625,0.625,0.667,0.75,0.706,0.625,0.625,0.625
SIR01_sl500_mr15_nv10_7,1,0.571,0.727,0.778,1,0.875,0.75,0.857,0.8,0.75,0.857,0.8
SIR01_sl500_mr15_nv10_20,1,0.52,0.684,0.944,0.68,0.791,0.941,0.64,0.762,0.944,0.68,0.791
SEIR01_sl500_mr025_nv10_10,0.833,0.714,0.769,0.733,0.786,0.759,0.733,0.786,0.759,0.733,0.786,0.759
SIR01_sl500_mr15_nv10_14,0.667,0.513,0.58,0.786,0.564,0.657,0.792,0.487,0.603,0.636,0.538,0.583
SIR003_sl500_mr05_nv10_6,0.533,0.381,0.444,0.667,0.571,0.615,0.647,0.524,0.579,0.571,0.571,0.571
SEIR01_sl500_mr025_nv10_3,0.929,0.619,0.743,0.889,0.762,0.821,0.842,0.762,0.8,0.81,0.81,0.81
SIR01_sl500_mr15_nv10_18,0.857,0.48,0.615,0.789,0.6,0.682,0.824,0.56,0.667,0.778,0.56,0.651
SIR003_sl500_mr05_nv10_10,0.667,0.41,0.508,0.786,0.564,0.657,0.76,0.487,0.594,0.679,0.487,0.567
SIR003_sl500_mr05_nv10_12,0.65,0.5,0.565,0.864,0.731,0.792,0.762,0.615,0.681,0.607,0.654,0.63
SEIR01_sl500_mr025_nv10_5,1,0.4,0.571,0.571,0.8,0.667,0.6,0.6,0.6,0.429,0.6,0.5
SIR01_sl500_mr15_nv10_5,0.906,0.558,0.69,0.889,0.769,0.825,0.875,0.673,0.761,0.841,0.712,0.771
SEIR015_sl500_mr025_nv10_7,0.935,0.468,0.624,0.812,0.629,0.709,0.867,0.629,0.729,0.906,0.774,0.835
SIR01_sl500_mr15_nv10_2,0.818,0.429,0.562,0.85,0.81,0.829,0.8,0.762,0.78,0.778,0.667,0.718
SIR003_sl500_mr05_nv10_8,0.778,0.467,0.583,0.714,0.667,0.69,0.714,0.667,0.69,0.667,0.667,0.667
SIR01_sl500_mr15_nv10_8,1,0.25,0.4,0.75,0.375,0.5,0.75,0.375,0.5,0.75,0.375,0.5
SEIR015_sl500_mr025_nv10_3,0.9,0.486,0.632,0.792,0.514,0.623,0.895,0.459,0.607,0.935,0.784,0.853
SIR01_sl500_mr15_nv10_4,0.833,0.612,0.706,0.769,0.612,0.682,0.8,0.653,0.719,0.854,0.714,0.778
SIR003_sl500_mr05_nv10_7,0.714,0.278,0.4,0.571,0.444,0.5,0.643,0.5,0.563,0.643,0.5,0.563
SIR01_sl500_mr15_nv10_12,1,0.167,0.286,0.75,0.5,0.6,0.667,0.333,0.444,0.667,0.333,0.444
SIR003_sl500_mr05_nv10_14,0.778,0.424,0.549,0.76,0.576,0.655,0.731,0.576,0.644,0.72,0.545,0.621
SEIR01_sl500_mr025_nv10_9,1,0.667,0.8,0.778,0.778,0.778,0.778,0.778,0.778,0.778,0.778,0.778
SEIR01_sl500_mr025_nv10_19,0.667,0.25,0.364,0.6,0.75,0.667,0.6,0.75,0.667,0.667,0.75,0.706
SEIR01_sl500_mr025_nv10_6,0.977,0.811,0.887,0.939,0.868,0.902,0.904,0.887,0.895,0.911,0.962,0.936
SIR01_sl500_mr15_nv10_11,0.909,0.588,0.714,0.923,0.706,0.8,0.857,0.706,0.774,0.722,0.765,0.743
