dataset,phylo_prec,phylo_rec,phylo_f1,sharp_prec,sharp_rec,sharp_f1,tnet_prec,tnet_rec,tnet_f1,tnet_bias_prec,tnet_bias_rec,tnet_bias_f1
SEIR01_sl1000_mr025_nv5_14,1,0.6,0.75,1,0.9,0.947,1,0.9,0.947,1,0.9,0.947
SEIR01_sl1000_mr0125_nv10_9,0.977,0.915,0.945,0.976,0.872,0.921,0.977,0.894,0.933,0.938,0.957,0.947
SEIR01_sl1000_mr025_nv10_11,1,0.829,0.906,0.914,0.914,0.914,0.914,0.914,0.914,0.889,0.914,0.901
SEIR01_sl1000_mr025_nv10_13,0.944,0.85,0.895,0.824,0.7,0.757,0.824,0.7,0.757,0.857,0.9,0.878
SEIR01_sl500_mr025_nv10_10,0.833,0.714,0.769,0.733,0.786,0.759,0.733,0.786,0.759,0.733,0.786,0.759
SEIR01_sl1000_mr05_nv10_20,0.977,0.808,0.884,0.978,0.865,0.918,0.978,0.865,0.918,0.906,0.923,0.914
SEIR01_sl500_mr025_nv10_3,0.929,0.619,0.743,0.889,0.762,0.821,0.842,0.762,0.8,0.81,0.81,0.81
SEIR01_sl1000_mr025_nv10_17,0.829,0.756,0.791,0.865,0.711,0.78,0.861,0.689,0.765,0.818,0.8,0.809
SEIR01_sl250_mr025_nv10_5,0.909,0.244,0.385,0.743,0.634,0.684,0.742,0.561,0.639,0.727,0.585,0.649
SEIR01_sl500_mr025_nv10_5,1,0.4,0.571,0.571,0.8,0.667,0.6,0.6,0.6,0.429,0.6,0.5
SEIR01_sl250_mr025_nv10_17,1,0.125,0.222,0.5,0.625,0.556,0.5,0.625,0.556,0.5,0.625,0.556
SEIR01_sl1000_mr025_nv5_20,0.941,0.667,0.78,0.85,0.708,0.773,0.889,0.667,0.762,0.889,0.667,0.762
SEIR01_sl1000_mr0125_nv10_12,1,0.2,0.333,1,0.2,0.333,1,0.2,0.333,1,0.2,0.333
SEIR01_sl1000_mr025_nv5_13,1,0.667,0.8,0.917,0.917,0.917,0.917,0.917,0.917,0.917,0.917,0.917
SEIR01_sl250_mr025_nv10_20,0.625,0.278,0.385,0.722,0.722,0.722,0.722,0.722,0.722,0.684,0.722,0.703
SEIR01_sl1000_mr025_nv20_13,0.88,0.759,0.815,0.943,0.862,0.901,0.907,0.845,0.875,0.864,0.879,0.872
SEIR01_sl1000_mr05_nv10_14,0.969,0.795,0.873,0.933,0.718,0.812,0.929,0.667,0.776,0.943,0.846,0.892
SEIR01_sl1000_mr05_nv10_13,0.857,0.75,0.8,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875
