dataset,phylo_prec,phylo_rec,phylo_f1,sharp_prec,sharp_rec,sharp_f1,tnet_prec,tnet_rec,tnet_f1,tnet_bias_prec,tnet_bias_rec,tnet_bias_f1
SIR003_sl1000_mr05_nv10_17,0.75,0.429,0.545,0.75,0.429,0.545,0.75,0.429,0.545,0.75,0.429,0.545
SIR003_sl1000_mr1_nv10_20,0.793,0.667,0.724,0.923,0.696,0.793,0.885,0.667,0.76,0.778,0.71,0.742
SIR003_sl250_mr05_nv10_16,1,0.273,0.429,0.714,0.455,0.556,0.714,0.455,0.556,0.714,0.455,0.556
SIR003_sl1000_mr05_nv5_17,0.706,0.5,0.585,0.794,0.562,0.659,0.812,0.542,0.65,0.638,0.625,0.632
SIR003_sl1000_mr025_nv10_7,0.643,0.562,0.6,0.643,0.562,0.6,0.643,0.562,0.6,0.6,0.562,0.581
SIR003_sl1000_mr05_nv5_18,0.8,0.5,0.615,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75
SIR003_sl500_mr05_nv10_6,0.533,0.381,0.444,0.667,0.571,0.615,0.647,0.524,0.579,0.571,0.571,0.571
SIR003_sl250_mr05_nv10_4,1,0.25,0.4,0.636,0.583,0.609,0.667,0.667,0.667,0.667,0.667,0.667
SIR003_sl1000_mr05_nv5_19,0.682,0.441,0.536,0.808,0.618,0.7,0.68,0.5,0.576,0.529,0.529,0.529
SIR003_sl1000_mr025_nv10_5,1,0.571,0.727,0.75,0.857,0.8,0.857,0.857,0.857,0.857,0.857,0.857
SIR003_sl500_mr05_nv10_10,0.667,0.41,0.508,0.786,0.564,0.657,0.76,0.487,0.594,0.679,0.487,0.567
SIR003_sl1000_mr05_nv20_3,1,0.615,0.762,1,0.769,0.87,1,0.692,0.818,0.769,0.769,0.769
SIR003_sl1000_mr05_nv10_3,0.875,0.7,0.778,0.875,0.7,0.778,0.875,0.7,0.778,0.8,0.8,0.8
SIR003_sl500_mr05_nv10_12,0.65,0.5,0.565,0.864,0.731,0.792,0.762,0.615,0.681,0.607,0.654,0.63
SIR003_sl1000_mr05_nv20_4,0.917,0.688,0.786,0.963,0.812,0.881,0.889,0.75,0.814,0.9,0.844,0.871
SIR003_sl1000_mr05_nv5_9,0.846,0.458,0.595,0.75,0.625,0.682,0.737,0.583,0.651,0.714,0.625,0.667
SIR003_sl1000_mr05_nv5_12,1,0.833,0.909,0.857,1,0.923,1,0.833,0.909,1,1,1
SIR003_sl250_mr05_nv10_10,0.8,0.211,0.333,0.625,0.526,0.571,0.625,0.526,0.571,0.588,0.526,0.556
SIR003_sl250_mr05_nv10_8,1,0.412,0.583,0.9,0.529,0.667,0.75,0.529,0.621,0.818,0.529,0.643
SIR003_sl1000_mr05_nv5_20,0.75,0.462,0.571,0.846,0.846,0.846,0.833,0.769,0.8,0.833,0.769,0.8
SIR003_sl500_mr05_nv10_8,0.778,0.467,0.583,0.714,0.667,0.69,0.714,0.667,0.69,0.667,0.667,0.667
SIR003_sl1000_mr05_nv10_13,0.83,0.696,0.757,0.911,0.732,0.812,0.891,0.732,0.804,0.788,0.732,0.759
SIR003_sl1000_mr05_nv10_7,0.905,0.826,0.864,0.905,0.826,0.864,0.905,0.826,0.864,0.87,0.87,0.87
SIR003_sl1000_mr05_nv5_6,0.571,0.364,0.444,1,0.364,0.533,1,0.364,0.533,0.5,0.364,0.421
SIR003_sl1000_mr05_nv10_11,0.733,0.629,0.677,0.724,0.6,0.656,0.714,0.571,0.635,0.676,0.657,0.667
SIR003_sl500_mr05_nv10_7,0.714,0.278,0.4,0.571,0.444,0.5,0.643,0.5,0.563,0.643,0.5,0.563
SIR003_sl1000_mr05_nv10_5,0.585,0.522,0.552,0.645,0.435,0.519,0.633,0.413,0.5,0.585,0.522,0.552
SIR003_sl500_mr05_nv10_14,0.778,0.424,0.549,0.76,0.576,0.655,0.731,0.576,0.644,0.72,0.545,0.621
SIR003_sl250_mr05_nv10_11,0.5,0.083,0.143,0.625,0.417,0.5,0.6,0.5,0.545,0.625,0.417,0.5
SIR003_sl1000_mr05_nv20_1,0.893,0.714,0.794,1,0.771,0.871,1,0.743,0.852,0.871,0.771,0.818
SIR003_sl1000_mr025_nv10_19,0.75,0.5,0.6,0.783,0.75,0.766,0.739,0.708,0.723,0.68,0.708,0.694
SIR003_sl1000_mr05_nv5_11,0.75,0.532,0.623,0.809,0.613,0.697,0.708,0.548,0.618,0.7,0.565,0.625
SIR003_sl1000_mr05_nv5_14,0.762,0.552,0.64,0.895,0.586,0.708,0.944,0.586,0.723,0.773,0.586,0.667
SIR003_sl1000_mr025_nv10_2,0.929,0.684,0.788,0.889,0.842,0.865,0.875,0.737,0.8,0.75,0.789,0.769
SIR003_sl500_mr05_nv10_1,0.8,0.571,0.667,0.857,0.857,0.857,0.833,0.714,0.769,0.857,0.857,0.857
SIR003_sl1000_mr05_nv10_14,1,0.7,0.824,1,1,1,1,0.9,0.947,1,1,1
